sName,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,GWA
Daniel Kennedy,3.0,2.5,1.5,2.75,2.75,2.5,2.5,2.0,2.44
Rebecca Jackson,1.0,2.25,2.0,1.0,2.5,2.75,1.0,1.75,1.78
Jose Schultz,1.75,1.75,1.75,1.0,2.75,1.0,2.0,2.75,1.84
Robert Potter,1.0,1.0,2.0,2.25,1.25,3.0,3.0,1.5,1.88
Courtney Gonzalez,2.5,2.25,1.75,3.0,1.75,2.25,1.75,3.0,2.28
David Alvarez,2.5,1.5,2.5,5.0,1.75,1.75,3.0,1.0,2.25
Angel Perry,1.25,1.5,1.5,2.5,2.25,2.25,2.75,3.0,2.12
Cheyenne Horton,1.75,2.75,2.5,1.75,1.5,1.5,1.75,3.0,2.06
David Douglas Jr.,2.0,2.5,1.5,1.0,1.75,2.75,1.25,1.25,1.75
Patricia Rodriguez,1.5,1.5,1.5,2.25,1.5,2.5,3.0,5.0,2.84
Christopher Rubio,2.75,1.5,1.25,2.75,2.5,2.25,1.5,1.75,2.03
Amber Wright,1.75,1.75,1.25,1.75,1.75,1.25,2.25,1.5,1.66
Joyce Solis,1.25,1.75,1.25,2.5,2.0,3.0,3.0,2.25,2.12
Victoria Larson,2.0,1.5,2.0,3.0,1.5,1.75,1.0,1.25,1.75
Stephanie Salazar,2.5,1.25,2.5,1.0,2.75,3.0,2.0,3.0,2.25
Kathy Rivas,1.25,1.75,1.25,2.75,1.75,1.0,2.0,2.0,1.72
Stephanie Manning,1.5,3.0,1.25,1.5,2.75,1.25,2.5,2.5,2.03
David Wright,3.0,2.25,1.75,1.75,1.75,1.25,3.0,1.75,2.06
Pamela Boyd,2.25,3.0,2.5,1.25,3.0,1.25,3.0,2.0,2.28
Denise Jones,1.75,2.25,3.0,2.0,3.0,1.5,1.25,1.75,2.06
Devon Flores,2.0,1.5,2.0,2.0,1.75,2.5,2.75,1.5,2.0
Brenda Hall,1.25,2.0,1.5,2.5,1.5,1.5,1.25,2.0,1.69
Michelle Brown,1.25,1.0,1.0,1.25,1.75,3.0,3.0,2.0,1.78
Joshua Perry,1.5,1.5,1.25,1.0,2.0,3.0,5.0,1.0,1.91
Jason Stein,2.0,1.75,1.25,2.75,3.0,2.75,1.75,3.0,2.28
Melissa Gates,1.25,2.0,1.25,2.25,2.75,1.5,2.0,1.75,1.84
Jamie Smith,1.25,2.25,1.0,1.5,2.75,2.25,3.0,2.75,2.09
Paul Castaneda,1.0,1.75,2.0,3.0,1.25,2.0,3.0,3.0,2.12
Jennifer Adkins,2.25,1.75,1.5,1.25,1.5,1.25,3.0,1.75,1.78
Lindsey Walker,1.25,1.25,3.0,1.75,2.25,1.5,2.75,1.75,1.94
Jeffrey Johnson,3.0,1.75,2.0,1.5,2.75,2.0,1.0,2.0,2.0
Michael Powell,2.75,3.0,2.5,1.5,2.0,2.0,2.0,1.25,2.12
John Anderson,1.0,2.75,1.25,1.0,1.25,1.25,1.25,1.25,1.38
Alyssa Long,1.5,1.25,2.75,2.75,2.75,3.0,3.0,1.5,2.31
Alyssa Day,2.25,1.0,2.0,3.0,2.75,1.25,1.5,3.0,2.09
Joel Williams,1.25,2.0,2.75,2.25,1.5,2.25,3.0,2.0,2.12
Daniel Murphy,1.25,2.25,2.0,1.25,2.5,2.5,2.0,1.75,1.94
Jamie Walton,3.0,1.5,1.75,1.75,1.5,2.25,2.0,1.25,1.88
Darlene Miller,2.0,2.75,1.75,1.5,3.0,2.75,3.0,1.5,2.28
Joshua Cooke,1.75,2.5,1.25,2.0,1.25,2.0,2.75,1.75,1.91
Matthew Harrington,2.5,2.25,1.0,2.25,1.75,2.75,1.75,2.75,2.12
Nicole Herring,2.75,1.25,3.0,1.75,3.0,1.0,1.25,2.0,2.0
Alex Hernandez,1.25,1.25,1.75,1.5,1.25,1.0,1.25,2.25,1.44
Michael Elliott,1.0,1.0,2.75,2.75,1.75,2.25,1.25,2.25,1.88
Michael Wang,1.75,1.5,1.75,1.25,1.5,2.0,1.75,1.5,1.62
Lawrence Adkins,1.75,1.75,1.0,1.75,1.0,2.25,1.5,2.75,1.72
Robert Oconnell,1.75,2.75,2.25,1.75,1.0,2.5,1.25,3.0,2.03
Alexander Collins,2.5,1.0,1.0,1.5,2.0,1.75,2.5,2.25,1.81
Tina Sanders,2.25,1.75,1.25,2.0,1.5,2.25,2.5,2.0,1.94
Angela Vaughn,3.0,2.25,2.0,2.0,3.0,2.0,2.0,1.25,2.19
Ashley Barton,1.0,1.25,1.5,3.0,1.75,2.25,2.5,2.75,2.0
Lindsay Martinez,1.75,2.5,3.0,1.5,1.0,1.5,1.25,1.25,1.72
Dr. Hannah Patterson,1.5,2.0,1.25,3.0,3.0,3.0,2.75,2.5,2.38
Jonathan Peterson,2.75,1.5,2.5,2.25,2.75,1.75,3.0,2.0,2.31
Samantha Garcia,1.5,2.25,2.25,1.5,2.25,2.75,2.75,3.0,2.28
Madison Poole,1.25,1.0,2.5,2.0,2.5,2.25,2.0,2.0,1.94
Jessica Gross,1.75,2.5,1.25,2.25,1.25,1.5,1.0,2.25,1.72
Debra Morton,1.75,2.5,2.0,2.5,1.5,1.0,2.25,1.0,1.81
Karen Graham,1.5,1.25,1.75,1.0,2.75,1.0,1.25,1.0,1.44
Debra Christian,1.5,1.75,1.75,2.25,2.5,1.75,1.25,2.75,1.94
Angelica Keith,3.0,1.25,2.75,2.0,1.25,1.75,1.5,3.0,2.06
John Bishop,1.75,3.0,3.0,3.0,2.5,1.25,1.5,2.25,2.28
Allen Rosales,2.75,2.0,1.5,1.5,1.75,2.25,1.5,2.5,1.97
Daniel Salinas,2.0,1.0,2.25,2.75,1.0,1.5,1.5,1.75,1.72
Spencer Haynes,1.0,1.5,2.25,2.25,1.0,2.5,2.5,2.75,1.97
Adam Vaughan,5.0,2.75,2.5,1.5,1.5,2.5,3.0,1.25,3.0
Nathan Freeman,2.75,1.75,3.0,2.25,2.75,2.75,1.5,2.5,2.41
Melissa Brewer,3.0,2.75,1.25,2.25,2.0,3.0,2.5,1.0,2.22
Ricky Davis II,3.0,2.25,1.25,2.25,2.5,1.25,1.0,2.0,1.94
Elizabeth Perkins,2.75,3.0,2.25,2.5,2.0,1.75,2.25,1.75,2.28
Joseph Coleman,1.25,2.25,1.25,2.25,1.25,2.0,2.5,2.25,1.88
Erin Warner,1.75,3.0,1.25,2.75,1.5,1.5,1.0,2.25,1.88
David Martinez,1.25,2.75,1.0,2.25,1.5,1.75,1.25,2.25,1.75
Bryan Herrera,1.75,2.25,1.0,3.0,1.0,1.5,1.5,1.75,1.72
Cathy Robinson,1.0,2.5,1.75,2.25,1.75,1.5,1.75,2.0,1.81
Dr. William Warren,1.75,2.0,2.25,1.5,2.75,1.0,2.0,1.0,1.78
Brian Lee,3.0,2.75,1.5,1.75,1.75,1.5,3.0,2.0,2.16
Christopher Smith,1.5,2.0,1.25,2.0,1.25,1.75,2.5,1.0,1.66
Denise Mccann,2.5,3.0,2.5,2.5,3.0,2.25,1.5,2.0,2.41
Melissa Martinez,1.75,2.5,2.5,1.0,2.25,1.5,1.25,1.5,1.78
Katherine Salas,1.75,1.75,1.75,1.5,1.0,2.75,3.0,3.0,2.06
Julie Alexander,3.0,1.5,2.25,2.5,2.0,1.25,1.5,1.0,1.88
Anthony Everett,3.0,1.5,3.0,1.25,1.5,1.5,2.25,2.75,2.09
Rodney Morales,2.0,2.25,2.5,1.25,1.25,2.0,1.25,2.25,1.84
Mark Brown,2.5,2.5,2.25,2.0,1.75,1.5,1.25,2.75,2.06
Justin Torres,1.25,2.0,2.25,3.0,2.25,2.5,1.25,3.0,2.19
Bailey Duran DDS,1.5,2.25,3.0,2.0,1.5,2.0,2.5,1.25,2.0
Courtney Mills,3.0,1.5,1.75,3.0,1.75,2.0,2.25,1.0,2.03
Jeremy Dalton,2.0,1.0,2.0,2.75,2.25,2.0,1.75,1.25,1.88
Elizabeth Oliver DDS,2.0,1.5,2.25,1.5,1.0,1.5,2.0,1.25,1.62
Theresa Clark,2.5,1.5,3.0,2.75,3.0,1.0,1.75,2.0,2.19
Matthew Moore,1.0,1.5,2.75,1.75,1.0,3.0,2.0,2.75,1.97
Benjamin Smith,2.0,2.0,1.0,2.75,2.0,2.0,2.25,1.5,1.94
Kirk Carter,2.0,1.25,1.25,2.5,2.0,3.0,1.25,1.75,1.88
Michael Warner,2.75,1.25,1.5,1.5,3.0,1.25,1.5,1.75,1.81
Michael Bradshaw,1.25,2.5,2.5,1.25,2.0,1.5,2.5,1.75,1.91
Lori Guerrero,3.0,2.5,2.0,3.0,1.75,1.0,2.75,2.0,2.25
Jessica Stephens,1.0,1.0,1.5,1.25,1.75,2.0,1.0,3.0,1.56
Susan Serrano,1.25,1.75,1.25,3.0,2.25,2.75,1.75,1.25,1.91
Christopher Parker,2.25,2.0,2.25,2.75,3.0,2.25,2.5,2.25,2.41
Laura Roberts,2.25,1.75,2.5,2.5,1.5,1.75,1.0,2.75,2.0
Michael Lyons,1.5,1.25,3.0,3.0,1.0,2.0,2.0,2.25,2.0
Kathryn Snyder,1.25,1.75,2.0,3.0,2.5,2.75,1.0,2.75,2.12
Andrew Reynolds,2.75,3.0,2.0,2.75,1.5,1.75,2.0,2.5,2.28
David Davis,1.5,2.0,1.0,1.75,2.5,2.75,2.0,1.0,1.81
Sara Johnston,2.25,2.5,1.0,2.5,2.25,2.5,2.0,1.75,2.09
