sName,Level of Identity,Level of Skills,Level of Knowledge,Context of Performance,Personal Factors,Fixed Factors,Avg_Identity,Avg_Skills,Avg_Knowledge,Avg_cPerfromance,Avg_pFactors,Avg_fFactors,Overall,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,GWA
Jeffrey Chavez,"{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 4}",2.25,2.25,2.0,2.75,2.25,2.25,2.29,2.0,1.25,1.75,1.75,2.0,1.75,1.5,1.75,1.72
Sherri Baker,"{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 1}",1.25,3.0,2.5,3.0,2.25,2.0,2.33,2.75,1.25,2.5,2.0,2.25,3.0,2.75,2.75,2.41
Cassandra Gaines,"{'Q1': 4, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 2}",3.5,2.5,2.5,1.75,3.75,2.75,2.79,2.25,1.25,2.75,3.0,2.25,2.0,2.0,3.0,2.31
Elizabeth Fowler,"{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 4}",3.0,2.75,2.5,3.0,2.5,2.75,2.75,2.75,2.0,1.5,2.25,2.75,2.0,2.5,1.75,2.19
Brittany Farmer,"{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 2}",3.75,2.75,2.0,2.5,2.5,2.75,2.71,2.0,1.5,1.0,2.0,2.25,3.0,1.5,2.25,1.94
Paula Moreno,"{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 2}",3.5,2.25,1.5,2.75,1.5,1.75,2.21,2.5,2.25,1.0,1.75,1.25,2.0,2.75,2.25,1.97
Fred Smith,"{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 1}",2.25,3.0,2.25,3.0,2.0,1.5,2.33,1.0,2.5,2.0,1.25,1.0,2.75,1.75,2.0,1.78
Sherry Decker,"{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 3}",2.0,3.0,2.75,3.0,1.75,2.75,2.54,1.25,1.25,,1.75,1.75,2.5,2.25,2.25,2.75
Anthony Humphrey,"{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 1}",3.0,2.25,4.0,2.0,1.75,3.25,2.71,1.5,2.25,1.5,2.5,1.5,1.0,3.0,1.5,1.84
Angelica Tucker,"{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 1}",1.25,2.0,2.75,2.0,2.75,2.25,2.17,1.0,1.5,2.25,2.25,1.5,2.25,2.0,1.25,1.75
Philip Cannon,"{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 3}",3.25,3.0,2.75,1.75,2.75,2.75,2.71,1.25,2.0,2.5,2.5,1.0,2.75,2.75,2.0,2.09
