Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Status,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time Allocation_Question_1,Time Allocation_Question_2,Time Allocation_Question_3,Reading and Note Taking_Question_1,Reading and Note Taking_Question_2,Reading and Note Taking_Question_3,Study Period Procedures_Question_1,Study Period Procedures_Question_2,Study Period Procedures_Question_3,Written Works_Question_1,Written Works_Question_2,Written Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
Tina Espinoza,1,24089888,1.5,3.0,1.0,2.25,1.0,Regular,,,,1.77,0,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree
Vincent Guzman,1,24954327,3.0,2.25,2.25,2.0,3.0,Regular,,,,2.46,0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree
Cameron Miller,4,21230131,5.0,1.25,1.0,5.0,2.25,Irregular,,,,2.9,2,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
Brittany Aguirre,4,21366102,5.0,2.5,2.75,3.0,1.0,Irregular,,,,2.85,1,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree
Joseph Ramos,4,21155482,1.25,2.25,1.75,3.0,4.0,Regular,,,,2.45,0,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree
Aaron Berger,2,23333014,1.0,3.0,2.0,4.0,5.0,Irregular,1.25,5.0,5.0,3.38,3,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Becky Navarro,4,21417525,5.0,1.5,4.0,4.0,2.75,Irregular,,,,3.45,1,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree
Stephanie Dyer MD,2,23037249,2.75,1.0,1.25,4.0,5.0,Irregular,2.25,5.0,1.75,2.88,2,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
Kathleen Pineda,4,21477487,1.75,1.0,5.0,2.25,5.0,Irregular,,,,3.0,2,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree
Sarah Vincent,4,21689139,1.5,1.25,1.75,1.5,4.0,Regular,,,,2.0,0,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree
Michael Davis,2,23901133,2.0,1.75,2.75,1.75,1.5,Regular,2.5,4.0,1.5,2.23,0,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree
Timothy Sullivan,2,23980427,2.25,2.5,1.0,2.5,4.0,Irregular,5.0,2.0,1.25,2.58,1,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree
Laura Green,4,21641577,1.5,2.25,2.5,1.75,4.0,Regular,,,,2.4,0,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree
Susan Murphy,3,22721555,2.5,1.5,2.0,4.0,2.0,Regular,2.0,1.5,,2.21,0,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree
Cody Thompson,3,22167543,1.5,1.25,3.0,2.25,1.5,Regular,1.0,1.75,,1.75,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree
Michelle Hanna,2,23725463,2.0,2.75,3.0,1.5,1.0,Regular,1.75,2.5,1.75,2.03,0,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree
Tina Walker,3,22802422,2.0,1.25,2.5,4.0,5.0,Irregular,1.0,2.75,,2.64,1,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
Daniel Reyes,2,23229834,2.25,1.0,1.25,3.0,4.0,Regular,1.25,2.0,4.0,2.35,0,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree
Courtney Ellis MD,4,21682418,2.25,1.0,2.5,1.0,1.75,Regular,,,,1.7,0,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
Joshua Austin,3,22216484,1.0,4.0,3.0,5.0,3.0,Irregular,1.5,4.0,,3.07,1,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree
Suzanne Callahan,1,24298606,5.0,4.0,4.0,2.25,5.0,Irregular,,,,3.98,2,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree
Lauren Baker,4,21787810,1.0,2.5,1.75,2.0,2.75,Regular,,,,2.0,0,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree
Phillip Moore,4,21714137,2.25,5.0,1.75,1.25,2.0,Irregular,,,,2.45,1,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree
Michael Martinez,1,24867225,2.25,2.75,5.0,4.0,2.75,Irregular,,,,3.43,1,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
Christina Coleman,1,24145018,2.75,5.0,4.0,1.5,2.5,Irregular,,,,3.18,1,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree
James Murphy,3,22205351,2.25,2.25,1.5,1.5,1.0,Regular,2.0,1.25,,1.68,0,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Cesar Johnston,4,21700131,4.0,3.0,1.0,1.25,2.25,Regular,,,,2.3,0,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree
Christina Williams,2,23933060,1.75,4.0,1.0,1.0,2.25,Irregular,3.0,4.0,5.0,2.79,1,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree
Michael Nelson,1,24140198,2.5,1.75,3.0,2.5,1.0,Regular,,,,2.12,0,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree
Angel Warner,2,23446922,3.0,2.5,4.0,2.0,1.0,Regular,1.25,2.0,1.75,2.15,0,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree
Daniel Blair,3,22796657,2.0,1.0,1.75,1.75,2.75,Regular,2.75,1.5,,1.93,0,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree
Martin Mitchell,3,22937670,2.0,3.0,5.0,1.0,2.25,Irregular,4.0,1.5,,2.68,1,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
Elizabeth Castillo,2,23709211,2.0,5.0,1.75,2.5,1.75,Irregular,3.0,2.25,2.75,2.65,1,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree
Thomas Goodwin,4,21171104,3.0,2.25,1.0,2.5,1.25,Regular,,,,2.0,0,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree
Sarah Bishop,4,21370355,1.25,2.75,3.0,2.75,1.75,Regular,,,,2.3,0,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
Kelly Andrews,1,24612089,2.75,2.5,1.5,4.0,1.0,Regular,,,,2.32,0,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree
Timothy Fowler,1,24160131,5.0,4.0,5.0,2.0,1.5,Irregular,,,,3.39,2,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree
Lisa Johnson,4,21805955,2.25,2.75,1.5,2.75,2.75,Regular,,,,2.4,0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree
Stephen Lyons,3,22680710,2.5,3.0,2.5,4.0,1.5,Regular,3.0,2.5,,2.71,0,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree
Stephanie Hall,1,24006448,2.25,2.0,3.0,1.5,1.75,Regular,,,,2.09,0,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree
Miss Monica Black,3,22057401,1.25,2.25,2.25,2.5,2.5,Regular,1.25,1.75,,1.96,0,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree
John Murray,4,21445150,2.0,1.0,5.0,5.0,2.75,Irregular,,,,3.15,2,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree
Glenn Ramos,2,23816559,4.0,2.0,3.0,2.25,1.25,Regular,2.5,2.25,1.5,2.27,0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree
Charles Brock,4,21417582,4.0,1.5,2.75,2.75,2.75,Regular,,,,2.75,0,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
Jacob Logan,1,24766723,1.0,2.25,1.25,2.25,3.0,Regular,,,,2.02,0,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree
Jillian Collins,3,22476155,1.5,4.0,1.75,1.75,1.75,Regular,2.25,4.0,,2.43,0,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree
Cynthia Ford,3,22198878,1.75,5.0,1.75,1.5,2.0,Irregular,4.0,1.0,,2.43,1,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree
Zachary Allen,4,21466000,1.75,5.0,2.5,2.25,1.25,Irregular,,,,2.55,1,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree
Kelsey Williams,2,23435952,2.0,1.25,1.25,1.25,5.0,Irregular,3.0,4.0,3.0,2.62,1,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree
Stephen Kramer,4,21690438,4.0,1.5,3.0,2.0,3.0,Regular,,,,2.7,0,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree
Christopher Mays,3,22490982,2.25,2.5,2.25,1.0,1.0,Regular,1.25,1.0,,1.61,0,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree
Michelle Meadows,1,24421754,2.0,4.0,2.0,1.0,4.0,Regular,,,,2.64,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree
Jonathan Mcintyre,2,23301442,1.0,4.0,1.5,2.0,5.0,Irregular,3.0,2.25,1.5,2.6,1,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree
David Keith,4,21802164,2.75,1.0,2.75,1.75,2.75,Regular,,,,2.2,0,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree
Kaylee Anderson,2,23851597,5.0,2.75,1.75,4.0,2.75,Irregular,2.0,5.0,2.5,3.14,2,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree
Elizabeth Todd,3,22179112,2.25,4.0,2.25,1.5,2.25,Regular,2.0,1.75,,2.29,0,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
Christian Steele,2,23764540,2.5,2.5,4.0,3.0,2.25,Regular,4.0,4.0,1.25,2.96,0,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
James Gonzales,4,21279995,1.0,1.0,1.75,1.75,3.0,Regular,,,,1.7,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree
John Wong,3,22902325,2.0,4.0,2.0,2.0,2.5,Regular,1.5,1.25,,2.18,0,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Michael Tucker,1,24870654,5.0,1.25,5.0,1.0,2.0,Irregular,,,,2.7,2,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree
