Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time Allocation_Question_1,Time Allocation_Question_2,Time Allocation_Question_3,Reading and Note Taking_Question_1,Reading and Note Taking_Question_2,Reading and Note Taking_Question_3,Study Period Procedures_Question_1,Study Period Procedures_Question_2,Study Period Procedures_Question_3,Written Works_Question_1,Written Works_Question_2,Written Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
Rachel Nolan,1,24874756,1.75,4.0,2.75,1.5,1.0,,,,2.23,0,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree
Joseph Haynes,1,24013639,1.75,2.5,1.75,2.5,3.0,,,,2.34,0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree
Ryan Norman,4,21499656,2.75,2.75,1.75,2.75,1.25,,,,2.25,0,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
Kevin Richardson,3,22028230,2.25,3.0,1.0,4.0,2.75,1.0,4.0,,2.57,0,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree
Larry Costa,2,23435336,2.75,3.0,1.5,2.0,1.75,2.0,1.5,5.0,2.42,1,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree
Ashley Simpson,4,21307801,2.25,1.5,1.0,5.0,2.0,,,,2.35,1,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree
Tina Espinoza,1,24089888,2.5,2.25,2.5,1.5,1.75,,,,2.07,0,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree
Vincent Guzman,1,24954327,2.25,5.0,1.75,5.0,3.0,,,,3.48,2,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree
Cameron Miller,4,21230131,3.0,2.5,1.0,1.0,2.75,,,,2.05,0,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree
Brittany Aguirre,4,21366102,1.25,4.0,4.0,2.25,1.0,,,,2.5,0,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree
Joseph Ramos,4,21155482,2.25,3.0,1.75,1.5,1.5,,,,2.0,0,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree
Aaron Berger,2,23333014,4.0,2.5,1.25,2.25,1.5,1.25,2.5,4.0,2.34,0,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree
Becky Navarro,4,21417525,1.5,1.75,2.75,4.0,2.5,,,,2.5,0,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree
Stephanie Dyer MD,2,23037249,2.25,1.5,4.0,1.25,2.25,2.25,3.0,1.75,2.28,0,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree
Kathleen Pineda,4,21477487,2.25,1.5,3.0,2.75,2.25,,,,2.35,0,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree
Sarah Vincent,4,21689139,4.0,1.5,1.25,2.5,1.25,,,,2.1,0,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree
Michael Davis,2,23901133,4.0,5.0,5.0,3.0,1.75,2.0,5.0,1.5,3.38,3,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree
Timothy Sullivan,2,23980427,4.0,2.0,4.0,3.0,2.0,4.0,1.25,4.0,2.99,0,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree
Laura Green,4,21641577,1.75,2.25,5.0,1.0,1.75,,,,2.35,1,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree
Susan Murphy,3,22721555,5.0,5.0,2.25,2.0,1.25,5.0,4.0,,3.5,3,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree
Cody Thompson,3,22167543,1.0,4.0,1.5,2.5,2.25,1.75,5.0,,2.57,1,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree
Michelle Hanna,2,23725463,3.0,2.0,3.0,1.25,2.75,1.75,1.25,2.0,2.09,0,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree
Tina Walker,3,22802422,1.25,1.5,5.0,2.75,3.0,4.0,4.0,,3.07,1,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree
Daniel Reyes,2,23229834,2.75,3.0,1.25,2.25,2.0,2.25,1.0,5.0,2.42,1,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree
Courtney Ellis MD,4,21682418,3.0,1.0,4.0,5.0,5.0,,,,3.6,2,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree
Joshua Austin,3,22216484,1.25,4.0,2.75,3.0,4.0,1.75,1.25,,2.57,0,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree
Suzanne Callahan,1,24298606,2.5,4.0,1.75,2.75,1.5,,,,2.5,0,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
Lauren Baker,4,21787810,1.25,2.0,5.0,2.25,2.5,,,,2.6,1,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree
Phillip Moore,4,21714137,3.0,2.5,4.0,2.5,1.0,,,,2.6,0,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree
Michael Martinez,1,24867225,2.0,3.0,5.0,5.0,2.75,,,,3.66,2,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree
Christina Coleman,1,24145018,1.0,3.0,4.0,2.75,1.0,,,,2.45,0,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
James Murphy,3,22205351,1.75,1.5,2.75,3.0,2.25,1.0,4.0,,2.32,0,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
Cesar Johnston,4,21700131,2.75,1.75,1.5,1.25,1.5,,,,1.75,0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree
Christina Williams,2,23933060,2.0,1.5,2.25,1.0,1.5,2.0,2.0,5.0,2.16,1,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree
Michael Nelson,1,24140198,4.0,2.5,1.0,1.5,2.75,,,,2.23,0,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree
Angel Warner,2,23446922,1.0,4.0,2.25,1.5,2.75,4.0,3.0,2.5,2.7,0,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree
Daniel Blair,3,22796657,1.25,1.5,3.0,2.75,3.0,2.5,2.5,,2.36,0,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree
Martin Mitchell,3,22937670,1.25,2.25,1.75,1.25,1.5,4.0,1.5,,1.93,0,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
Elizabeth Castillo,2,23709211,2.75,2.25,2.25,2.25,4.0,4.0,2.5,2.0,2.75,0,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree
Thomas Goodwin,4,21171104,1.25,4.0,5.0,3.0,1.5,,,,2.95,1,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree
Sarah Bishop,4,21370355,3.0,2.25,1.5,5.0,2.25,,,,2.8,1,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree
Kelly Andrews,1,24612089,2.25,2.0,2.0,1.0,5.0,,,,2.46,1,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Timothy Fowler,1,24160131,2.0,1.25,2.0,5.0,2.75,,,,2.64,1,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree
Lisa Johnson,4,21805955,4.0,2.5,1.25,1.0,1.0,,,,1.95,0,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
Stephen Lyons,3,22680710,4.0,1.0,1.25,1.75,4.0,1.25,4.0,,2.46,0,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
Stephanie Hall,1,24006448,5.0,4.0,1.0,4.0,3.0,,,,3.29,1,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree
Miss Monica Black,3,22057401,1.25,1.5,2.75,4.0,5.0,2.25,1.0,,2.54,1,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree
John Murray,4,21445150,1.5,1.75,2.75,2.0,2.75,,,,2.15,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree
Glenn Ramos,2,23816559,3.0,1.0,2.25,2.0,4.0,4.0,2.0,1.0,2.38,0,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree
Charles Brock,4,21417582,2.25,2.75,4.0,2.25,2.25,,,,2.7,0,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Jacob Logan,1,24766723,1.25,2.25,1.5,1.5,1.5,,,,1.62,0,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree
Jillian Collins,3,22476155,2.25,3.0,1.0,2.0,2.75,1.75,2.75,,2.21,0,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree
Cynthia Ford,3,22198878,3.0,5.0,1.75,3.0,1.75,1.25,1.0,,2.39,1,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree
Zachary Allen,4,21466000,2.0,3.0,1.75,4.0,2.75,,,,2.7,0,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree
Kelsey Williams,2,23435952,1.75,5.0,2.5,1.25,1.0,2.5,2.5,2.0,2.34,1,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree
Stephen Kramer,4,21690438,2.5,2.25,3.0,2.75,4.0,,,,2.9,0,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree
Christopher Mays,3,22490982,2.0,2.25,2.5,4.0,2.5,5.0,2.0,,2.89,1,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
Michelle Meadows,1,24421754,1.5,1.5,2.75,5.0,1.0,,,,2.41,1,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree
Jonathan Mcintyre,2,23301442,2.0,2.75,3.0,3.0,1.25,5.0,2.0,2.5,2.72,1,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree
David Keith,4,21802164,2.25,2.0,4.0,1.75,2.5,,,,2.5,0,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
Kaylee Anderson,2,23851597,5.0,1.25,2.0,2.75,4.0,2.0,2.5,2.5,2.65,1,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree
Elizabeth Todd,3,22179112,1.0,2.25,5.0,2.25,1.5,1.75,2.0,,2.25,1,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree
Christian Steele,2,23764540,2.75,2.0,2.0,2.0,2.0,2.75,3.0,2.0,2.29,0,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree
James Gonzales,4,21279995,2.75,2.25,2.5,2.5,1.25,,,,2.25,0,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree
John Wong,3,22902325,1.5,4.0,1.0,4.0,2.0,2.25,2.5,,2.46,0,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree
Michael Tucker,1,24870654,1.0,2.75,2.0,1.25,1.25,,,,1.7,0,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree
Donna Estrada,2,23336898,1.5,2.25,5.0,5.0,3.0,2.0,1.25,1.75,2.77,2,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree
Michael Becker,4,21533537,2.25,1.25,3.0,1.25,4.0,,,,2.35,0,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree
Karen Clements,1,24451751,2.75,2.25,1.5,3.0,5.0,,,,2.91,1,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree
