Student Name,Year Level,Student Number,Grades,GWA,Failed Subjects
Carla Gray,4,21513338,"[2.75, 1.5, 2.5, 1.5, 2.0]",2.05,0
Margaret Hawkins DDS,4,21317810,"[5.0, 3.0, 1.0, 1.25, 1.75]",1.75,1
Patty Perez,2,23677360,"[1.5, 2.5, 1.0, 2.5, 2.0, 2.75, 2.0, 2.5]",2.12,0
Ethan Adams,4,21234309,"[3.0, 1.0, 2.25, 1.0, 1.0]",1.65,0
Tommy Walter,4,21882081,"[1.5, 1.25, 4.0, 1.25, 5.0]",1.33,2
Matthew Foster,2,23619399,"[1.0, 4.0, 1.25, 2.5, 5.0, 4.0, 4.0, 3.0]",2.02,4
Judy Baker,3,22435346,"[1.5, 5.0, 5.0, 2.0, 2.75, 2.25, 1.25]",1.95,2
Justin Baker,1,24799118,"[1.75, 3.0, 2.0, 1.5, 2.25]",2.12,0
Stephanie Ross,1,24354278,"[2.0, 4.0, 5.0, 3.0, 1.0]",2.0,2
Zachary Hicks,3,22124118,"[1.5, 2.0, 2.0, 4.0, 1.75, 2.25, 1.75]",1.88,1
Anthony Rodriguez,3,22874016,"[2.0, 1.0, 1.0, 2.25, 1.5, 5.0, 2.0]",1.62,1
Rebecca Henderson,2,23786801,"[1.25, 1.5, 3.0, 1.0, 2.25, 4.0, 3.0, 1.5]",1.96,1
James Ferrell,4,21204505,"[1.75, 5.0, 1.75, 5.0, 1.25]",1.58,2
Tricia Valencia,3,22869232,"[1.5, 2.5, 1.0, 1.5, 2.25, 2.5, 5.0]",1.88,1
Nathan Maldonado,2,23421607,"[1.75, 1.75, 2.75, 2.25, 2.0, 1.75, 1.75, 1.0]",1.88,0
Debra Davidson,2,23654145,"[5.0, 3.0, 2.5, 5.0, 3.0, 2.25, 1.0, 1.25]",2.17,2
Jeffrey Chavez,3,22294019,"[2.5, 2.25, 2.25, 2.5, 4.0, 3.0, 1.25]",2.29,1
Sherri Baker,4,21934060,"[3.0, 3.0, 5.0, 5.0, 1.75]",2.58,2
Cassandra Gaines,3,22615951,"[2.0, 3.0, 2.0, 5.0, 2.5, 2.25, 2.5]",2.38,1
Elizabeth Fowler,3,22823662,"[4.0, 4.0, 2.0, 2.5, 3.0, 1.0, 2.0]",2.1,2
Brittany Farmer,3,22369957,"[2.75, 2.75, 5.0, 1.75, 3.0, 2.75, 1.5]",2.42,1
Paula Moreno,1,24489513,"[5.0, 2.0, 1.75, 1.75, 1.5]",1.75,1
Fred Smith,1,24037917,"[2.5, 5.0, 4.0, 1.75, 2.5]",2.22,2
Sherry Decker,4,21632016,"[1.75, 1.5, 3.0, 2.75, 1.0]",2.0,0
Anthony Humphrey,2,23172788,"[4.0, 2.25, 2.75, 4.0, 3.0, 2.5, 3.0, 2.75]",2.71,2
Angelica Tucker,2,23774348,"[2.75, 5.0, 1.75, 2.0, 2.75, 1.25, 2.0, 1.75]",2.0,1
Philip Cannon,3,22558122,"[1.75, 2.5, 1.5, 1.75, 1.25, 2.5, 2.5]",1.96,0
John Pierce,3,22876036,"[2.5, 4.0, 1.0, 4.0, 2.5, 2.75, 1.0]",1.95,2
Shane Henderson,3,22466889,"[1.75, 2.75, 1.75, 2.0, 2.5, 2.75, 1.0]",2.07,0
Joshua Blair,4,21562729,"[3.0, 1.0, 2.5, 4.0, 4.0]",2.17,2
Eric Carney,1,24162720,"[2.0, 2.5, 2.25, 1.75, 2.75]",2.27,0
Jessica Holmes,3,22564641,"[2.75, 1.0, 3.0, 1.0, 2.25, 1.75, 5.0]",1.96,1
Danny Morgan,1,24003309,"[1.5, 1.75, 1.5, 2.75, 5.0]",1.91,1
Crystal Robinson,1,24937452,"[4.0, 4.0, 1.25, 1.5, 2.0]",1.58,2
Mark Perez,1,24904966,"[1.75, 1.25, 4.0, 5.0, 1.75]",1.56,2
Shannon Jones,1,24491905,"[3.0, 2.5, 5.0, 2.25, 1.25]",2.18,1
Michael Lewis,3,22067165,"[5.0, 2.75, 1.5, 2.5, 1.5, 3.0, 5.0]",2.25,2
Timothy Duncan,3,22987769,"[2.0, 2.25, 1.75, 1.25, 2.0, 2.75, 1.75]",1.96,0
Richard Aguirre,4,21996507,"[2.25, 1.5, 2.75, 1.75, 2.25]",2.1,0
Brent Jordan,3,22549480,"[3.0, 1.75, 1.25, 1.75, 2.5, 2.75, 3.0]",2.29,0
John Daniel,2,23777014,"[1.75, 2.5, 1.75, 2.0, 5.0, 4.0, 2.25, 2.75]",2.19,2
Victoria Garcia,3,22685574,"[2.0, 2.0, 1.75, 1.25, 1.75, 2.25, 1.25]",1.75,0
Gerald Hensley,2,23337498,"[4.0, 2.0, 1.25, 1.75, 2.0, 1.75, 2.25, 1.5]",1.79,1
Connor West,3,22082400,"[3.0, 2.0, 1.5, 5.0, 2.75, 1.25, 1.0]",1.92,1
Donald Wright,3,22777520,"[2.0, 2.75, 1.25, 1.25, 2.5, 2.75, 1.25]",1.96,0
Jessica Callahan,1,24229413,"[1.25, 3.0, 2.5, 4.0, 4.0]",2.38,2
Amber Kidd,2,23867749,"[2.5, 2.0, 4.0, 4.0, 1.0, 4.0, 1.25, 1.75]",1.64,3
Tracy House,2,23412328,"[1.25, 1.5, 1.0, 2.5, 2.75, 4.0, 2.75, 2.0]",2.0,1
Carol Tucker,1,24344713,"[2.0, 5.0, 4.0, 5.0, 1.75]",1.85,3
James Brown,4,21183242,"[1.25, 1.0, 1.5, 2.0, 4.0]",1.44,1
William Baker,3,22717464,"[3.0, 3.0, 2.75, 2.75, 1.25, 4.0, 1.0]",2.29,1
Jordan Henderson,4,21594013,"[5.0, 4.0, 4.0, 1.0, 5.0]",1.0,4
Whitney Peters,3,22902787,"[2.0, 1.5, 4.0, 2.5, 5.0, 2.75, 1.25]",2.0,2
Brittney Phillips,4,21565512,"[2.25, 2.5, 2.75, 2.0, 5.0]",2.38,1
Lauren Daniels,4,21807154,"[2.25, 1.25, 2.5, 3.0, 1.0]",2.0,0
Amy Silva,4,21603859,"[2.75, 5.0, 2.75, 1.0, 1.75]",2.06,1
Sarah Moore,3,22824771,"[1.0, 5.0, 4.0, 1.75, 1.5, 2.0, 3.0]",1.85,2
Angela Lopez,1,24861317,"[1.25, 5.0, 1.5, 2.75, 2.0]",1.93,1
Megan Young,3,22677378,"[1.5, 2.5, 1.75, 4.0, 3.0, 1.5, 1.25]",1.92,1
Steve Sanchez,3,22658404,"[2.0, 4.0, 4.0, 5.0, 2.75, 1.5, 2.75]",2.25,3
Lisa Barnes,4,21558867,"[2.25, 1.75, 1.75, 4.0, 2.5]",2.06,1
Kelly Donovan,2,23605766,"[5.0, 5.0, 1.5, 2.75, 1.0, 1.5, 3.0, 4.0]",1.95,3
Mike Allen,3,22171870,"[1.5, 2.5, 5.0, 1.5, 1.25, 2.75, 2.0]",1.92,1
Michael Evans,3,22961586,"[2.25, 5.0, 2.75, 3.0, 1.0, 4.0, 1.25]",2.05,2
Paul Jones,2,23431611,"[2.75, 1.5, 2.0, 1.0, 1.0, 2.25, 1.0, 2.0]",1.64,0
Zachary Ferrell,3,22562386,"[4.0, 5.0, 1.5, 1.5, 1.5, 1.25, 4.0]",1.44,3
Daniel Baker,4,21937923,"[2.75, 5.0, 2.0, 2.75, 2.0]",2.38,1
Shirley Suarez,1,24748217,"[2.25, 4.0, 2.0, 5.0, 2.5]",2.25,2
Christopher Bass,3,22743671,"[1.75, 2.5, 4.0, 2.25, 4.0, 2.0, 2.0]",2.1,2
Lisa Archer,1,24640909,"[2.75, 2.0, 1.75, 4.0, 2.25]",2.14,1
Aimee Montoya,2,23394210,"[2.0, 2.75, 1.0, 4.0, 2.25, 1.5, 1.25, 2.0]",1.81,1
Matthew Mcmillan,3,22623285,"[3.0, 3.0, 2.0, 1.5, 2.0, 2.75, 2.0]",2.32,0
Brian Rodriguez,3,22171236,"[3.0, 2.25, 1.25, 2.5, 1.0, 2.0, 3.0]",2.14,0
Denise Jacobs,1,24754965,"[1.25, 5.0, 1.75, 2.75, 1.0]",1.73,1
Christina Walters,3,22931746,"[1.25, 1.5, 1.0, 1.0, 2.0, 2.75, 1.25]",1.54,0
John Whitehead,1,24382675,"[5.0, 3.0, 2.5, 4.0, 1.5]",2.33,2
Anna Henderson,4,21179640,"[2.25, 1.75, 2.75, 2.75, 1.75]",2.25,0
Aaron Wise,3,22158506,"[2.0, 1.75, 1.25, 2.75, 1.25, 5.0, 1.75]",1.79,1
Deborah Figueroa,1,24053293,"[1.25, 3.0, 1.75, 4.0, 1.75]",2.0,1
Jessica Smith,2,23529042,"[1.5, 3.0, 2.0, 1.5, 1.25, 5.0, 1.0, 1.5]",1.69,1
Stephen Mckee,1,24539502,"[2.0, 1.0, 1.5, 2.5, 3.0]",2.0,0
Sandra Aguilar,1,24177589,"[1.25, 2.75, 3.0, 1.75, 4.0]",2.27,1
Cameron Parker,1,24847007,"[2.5, 2.5, 5.0, 1.25, 2.75]",2.23,1
Rebecca Valencia,4,21115921,"[1.5, 2.0, 4.0, 5.0, 4.0]",1.75,3
Christine Wright,3,22698478,"[4.0, 2.5, 1.25, 1.25, 5.0, 5.0, 3.0]",2.0,3
Richard Henson,2,23673657,"[2.5, 2.5, 1.25, 2.25, 2.5, 2.25, 5.0, 2.0]",2.16,1
Marc Moore,3,22271111,"[2.5, 1.25, 2.25, 1.5, 3.0, 1.0, 4.0]",1.92,1
Sharon Cherry,3,22165604,"[4.0, 2.0, 2.25, 1.25, 4.0, 3.0, 1.75]",2.05,2
Sierra Johnson,2,23731585,"[1.25, 2.0, 4.0, 1.75, 2.5, 3.0, 4.0, 4.0]",2.16,3
Evelyn Galvan,1,24940244,"[2.25, 2.25, 1.0, 1.5, 1.5]",1.66,0
Sharon Cochran,4,21120183,"[2.5, 2.5, 2.75, 2.25, 1.5]",2.3,0
Richard Rodriguez,3,22459910,"[1.5, 1.5, 4.0, 1.0, 5.0, 1.25, 2.0]",1.45,2
Shannon Walker,4,21679764,"[1.75, 3.0, 1.25, 2.25, 2.5]",2.15,0
Julia Torres,1,24497840,"[1.75, 2.5, 4.0, 1.0, 1.0]",1.55,1
Crystal Johnson,2,23432445,"[1.25, 1.0, 2.75, 2.5, 1.5, 1.5, 2.5, 3.0]",2.03,0
Garrett Lin,2,23885160,"[2.5, 1.0, 2.75, 1.25, 2.25, 4.0, 2.5, 4.0]",2.01,2
Diana May,4,21641605,"[1.5, 4.0, 2.75, 2.25, 1.25]",1.94,1
William Herrera,4,21136968,"[1.25, 2.5, 2.0, 2.25, 1.75]",1.95,0
Ashley Waller,3,22218188,"[1.75, 2.25, 2.25, 5.0, 1.5, 1.75, 1.25]",1.79,1
Victor Baker,2,23432921,"[1.5, 5.0, 2.75, 2.75, 4.0, 4.0, 2.75, 5.0]",2.52,4
Jeffrey Chandler,3,22527177,"[5.0, 2.0, 2.0, 4.0, 1.0, 2.25, 3.0]",2.05,2
Larry Dixon,1,24477005,"[2.0, 1.25, 5.0, 1.25, 4.0]",1.44,2
Kenneth Scott,4,21798079,"[5.0, 1.75, 2.25, 4.0, 2.75]",2.25,2
April Frost,2,23071518,"[5.0, 1.5, 1.0, 1.75, 2.75, 2.75, 3.0, 3.0]",2.25,1
Michelle Harmon,2,23554665,"[5.0, 4.0, 1.0, 5.0, 5.0, 2.25, 1.25, 2.25]",1.69,4
Helen Jones,1,24864492,"[2.25, 1.25, 4.0, 5.0, 1.5]",1.59,2
Erin Edwards,3,22462914,"[3.0, 2.5, 5.0, 2.25, 1.5, 5.0, 5.0]",2.31,3
Michelle Evans,1,24685054,"[1.5, 1.75, 2.25, 2.75, 1.75]",2.04,0
Jason Powell,2,23221418,"[3.0, 3.0, 1.0, 5.0, 2.25, 4.0, 1.5, 4.0]",2.09,3
Cameron Fisher,4,21222927,"[1.0, 2.5, 2.25, 5.0, 1.75]",1.88,1
Megan Orr,4,21947383,"[2.0, 2.75, 1.75, 2.25, 5.0]",2.19,1
Elizabeth Kelley,4,21746886,"[1.5, 1.75, 4.0, 1.5, 2.0]",1.69,1
Dustin Jordan,1,24758181,"[2.0, 1.25, 1.5, 2.0, 2.75]",1.89,0
Mary Marshall,2,23613750,"[2.5, 1.0, 2.5, 3.0, 2.25, 1.75, 2.5, 1.25]",2.08,0
Daniel Kennedy,3,22305152,"[1.5, 1.0, 2.0, 2.75, 1.5, 2.75, 2.75]",2.04,0
Rebecca Jackson,1,24104328,"[4.0, 3.0, 2.5, 1.25, 2.0]",2.19,1
Jose Schultz,2,23410369,"[2.75, 1.25, 1.25, 2.75, 4.0, 3.0, 1.0, 5.0]",1.96,2
Robert Potter,2,23246095,"[1.75, 4.0, 2.5, 1.5, 5.0, 5.0, 1.25, 3.0]",2.02,3
Courtney Gonzalez,3,22188888,"[1.0, 2.5, 2.75, 1.0, 5.0, 2.5, 2.25]",2.0,1
David Alvarez,3,22051531,"[4.0, 2.25, 1.5, 1.0, 2.25, 3.0, 2.25]",2.04,1
Angel Perry,2,23772217,"[1.0, 2.0, 1.75, 1.0, 1.75, 1.0, 2.25, 2.0]",1.62,0
Cheyenne Horton,4,21874034,"[2.25, 1.0, 5.0, 2.25, 2.0]",1.88,1
David Douglas Jr.,1,24566765,"[1.5, 2.75, 2.75, 2.25, 3.0]",2.52,0
Patricia Rodriguez,3,22161692,"[3.0, 2.0, 2.25, 1.25, 1.25, 2.25, 5.0]",2.0,1
Christopher Rubio,3,22479627,"[2.25, 2.75, 1.0, 2.25, 4.0, 2.5, 2.0]",2.12,1
Amber Wright,1,24165820,"[1.5, 4.0, 5.0, 2.75, 1.0]",1.78,2
Joyce Solis,2,23135569,"[1.0, 4.0, 1.5, 5.0, 2.75, 2.25, 2.25, 2.75]",2.15,2
Victoria Larson,1,24928565,"[5.0, 2.0, 1.75, 1.25, 1.0]",1.5,1
Stephanie Salazar,2,23786814,"[2.0, 2.75, 1.75, 4.0, 2.0, 2.75, 1.75, 1.25]",2.04,1
Kathy Rivas,2,23172715,"[5.0, 2.25, 1.25, 3.0, 3.0, 2.0, 2.0, 1.5]",2.14,1
Stephanie Manning,2,23583132,"[1.75, 2.75, 1.0, 2.25, 3.0, 4.0, 2.25, 2.75]",2.27,1
David Wright,2,23911467,"[3.0, 2.5, 2.5, 4.0, 1.25, 1.5, 2.25, 5.0]",2.12,2
Pamela Boyd,1,24778528,"[5.0, 4.0, 1.5, 1.5, 2.5]",1.83,2
Denise Jones,1,24182422,"[2.25, 1.75, 2.25, 3.0, 2.0]",2.25,0
Devon Flores,1,24438424,"[4.0, 3.0, 1.25, 3.0, 5.0]",2.42,2
Brenda Hall,2,23992299,"[2.25, 4.0, 1.0, 1.0, 1.25, 1.0, 5.0, 4.0]",1.23,3
Michelle Brown,3,22396907,"[5.0, 3.0, 2.0, 5.0, 2.0, 2.75, 1.75]",2.3,2
Joshua Perry,4,21471027,"[2.5, 2.75, 2.75, 1.75, 2.25]",2.4,0
Jason Stein,2,23555625,"[3.0, 3.0, 1.25, 2.25, 1.75, 2.75, 1.25, 2.0]",2.12,0
Melissa Gates,4,21321046,"[4.0, 2.5, 1.75, 1.5, 2.25]",2.0,1
Jamie Smith,3,22327877,"[2.0, 2.75, 1.0, 1.25, 2.5, 3.0, 2.75]",2.18,0
Paul Castaneda,2,23395004,"[2.75, 4.0, 5.0, 5.0, 2.75, 2.0, 3.0, 1.0]",2.27,3
Jennifer Adkins,1,24624565,"[1.0, 2.5, 1.0, 4.0, 3.0]",1.95,1
Lindsey Walker,2,23584168,"[2.75, 3.0, 2.0, 4.0, 5.0, 4.0, 1.25, 1.5]",2.05,3
Jeffrey Johnson,1,24655852,"[1.75, 4.0, 3.0, 2.5, 3.0]",2.64,1
Michael Powell,1,24002578,"[2.75, 1.5, 4.0, 3.0, 1.5]",2.14,1
John Anderson,3,22952694,"[4.0, 2.25, 3.0, 3.0, 3.0, 2.75, 4.0]",2.8,2
Alyssa Long,3,22705516,"[4.0, 2.0, 5.0, 1.0, 4.0, 2.75, 2.0]",1.94,3
Alyssa Day,2,23097289,"[2.5, 1.5, 5.0, 1.75, 1.0, 4.0, 1.25, 1.75]",1.57,2
Joel Williams,1,24756263,"[2.5, 3.0, 4.0, 2.75, 1.0]",2.3,1
Daniel Murphy,2,23838578,"[2.5, 2.25, 1.5, 2.75, 3.0, 2.25, 3.0, 2.25]",2.43,0
Jamie Walton,3,22973348,"[2.0, 1.75, 2.0, 2.0, 1.75, 2.75, 2.25]",2.07,0
Darlene Miller,4,21584419,"[5.0, 3.0, 2.5, 2.5, 2.25]",2.56,1
Joshua Cooke,2,23404157,"[5.0, 2.0, 2.75, 1.75, 1.75, 3.0, 2.0, 3.0]",2.32,1
Matthew Harrington,3,22219933,"[1.0, 5.0, 3.0, 1.75, 5.0, 1.75, 1.0]",1.7,2
Nicole Herring,1,24657120,"[3.0, 1.5, 2.5, 5.0, 2.75]",2.39,1
Alex Hernandez,4,21345401,"[5.0, 4.0, 1.75, 3.0, 1.0]",1.92,2
Michael Elliott,2,23620672,"[2.0, 1.0, 1.0, 2.0, 4.0, 4.0, 1.25, 2.25]",1.56,2
Michael Wang,3,22788728,"[2.75, 2.0, 1.75, 1.25, 2.25, 1.5, 2.75]",2.04,0
Lawrence Adkins,3,22205493,"[1.5, 4.0, 5.0, 2.5, 2.5, 3.0, 2.25]",2.35,2
Robert Oconnell,1,24612275,"[1.75, 1.0, 2.0, 2.5, 1.75]",1.8,0
Alexander Collins,4,21454990,"[2.0, 5.0, 2.25, 1.75, 1.0]",1.75,1
Tina Sanders,1,24742684,"[1.25, 5.0, 2.0, 2.25, 4.0]",1.91,2
Angela Vaughn,2,23327279,"[2.25, 2.5, 3.0, 2.75, 3.0, 5.0, 1.75, 1.75]",2.44,1
Ashley Barton,1,24878519,"[1.25, 1.0, 3.0, 3.0, 1.75]",2.05,0
Lindsay Martinez,2,23258713,"[4.0, 2.75, 1.25, 3.0, 2.75, 1.0, 2.75, 1.5]",2.14,1
Dr. Hannah Patterson,4,21790874,"[1.0, 2.5, 2.0, 1.0, 1.75]",1.65,0
Jonathan Peterson,1,24065180,"[1.25, 2.75, 1.0, 2.0, 2.5]",1.95,0
Samantha Garcia,2,23265676,"[2.5, 1.25, 5.0, 5.0, 3.0, 1.5, 5.0, 2.25]",2.07,3
Madison Poole,1,24286823,"[1.0, 1.0, 2.0, 2.75, 5.0]",1.75,1
Jessica Gross,4,21863375,"[1.5, 2.0, 1.75, 1.25, 1.0]",1.5,0
Debra Morton,4,21903311,"[4.0, 1.0, 2.75, 4.0, 5.0]",1.88,3
Karen Graham,1,24306738,"[1.75, 1.0, 1.5, 3.0, 2.0]",1.86,0
Debra Christian,2,23959953,"[2.0, 1.5, 5.0, 3.0, 1.75, 2.5, 2.0, 2.0]",2.11,1
Angelica Keith,1,24892687,"[1.0, 2.25, 5.0, 5.0, 2.5]",2.03,2
John Bishop,3,22662462,"[3.0, 2.75, 1.75, 1.75, 2.0, 1.5, 2.75]",2.21,0
Allen Rosales,1,24866882,"[2.5, 1.75, 2.0, 1.75, 2.25]",2.02,0
Daniel Salinas,1,24751830,"[2.0, 2.5, 5.0, 4.0, 4.0]",2.3,3
Spencer Haynes,1,24139837,"[1.75, 2.25, 2.0, 1.0, 1.75]",1.75,0
Adam Vaughan,2,23173936,"[1.75, 3.0, 2.25, 2.0, 2.5, 2.75, 3.0, 5.0]",2.5,1
Nathan Freeman,3,22445877,"[1.25, 2.75, 2.25, 1.75, 2.25, 2.25, 2.5]",2.14,0
Melissa Brewer,1,24932048,"[4.0, 4.0, 2.5, 2.0, 1.5]",2.0,2
Ricky Davis II,2,23536937,"[3.0, 5.0, 5.0, 2.25, 2.0, 2.75, 5.0, 2.75]",2.52,3
Elizabeth Perkins,4,21252287,"[1.5, 3.0, 5.0, 1.0, 3.0]",2.12,1
Joseph Coleman,1,24100623,"[1.25, 1.5, 1.0, 1.75, 3.0]",1.73,0
Erin Warner,4,21509977,"[1.0, 1.0, 3.0, 3.0, 2.5]",2.1,0
David Martinez,1,24084840,"[3.0, 5.0, 2.5, 1.5, 1.25]",1.98,1
Bryan Herrera,1,24823398,"[2.0, 2.25, 2.0, 2.5, 1.25]",2.0,0
Cathy Robinson,3,22679334,"[5.0, 1.25, 5.0, 5.0, 1.0, 1.25, 2.5]",1.5,3
Dr. William Warren,4,21687002,"[1.25, 2.75, 2.5, 5.0, 2.25]",2.19,1
Brian Lee,1,24803397,"[2.0, 1.0, 1.25, 5.0, 2.0]",1.52,1
Christopher Smith,1,24250392,"[2.5, 1.25, 2.0, 1.5, 4.0]",1.75,1
Denise Mccann,2,23968562,"[1.25, 3.0, 2.25, 1.0, 1.25, 2.5, 1.75, 1.25]",1.8,0
Melissa Martinez,3,22999650,"[5.0, 2.0, 2.75, 2.75, 1.75, 2.25, 3.0]",2.42,1
Katherine Salas,4,21629619,"[2.0, 1.75, 1.25, 1.25, 2.0]",1.65,0
Julie Alexander,2,23626551,"[1.25, 1.0, 2.0, 2.75, 2.25, 2.0, 1.25, 1.5]",1.77,0
Anthony Everett,1,24267888,"[2.5, 1.25, 1.0, 1.25, 2.25]",1.59,0
Rodney Morales,1,24995604,"[2.5, 2.5, 1.25, 3.0, 1.75]",2.18,0
Mark Brown,2,23622444,"[2.75, 1.5, 1.25, 1.5, 2.5, 2.0, 2.5, 2.0]",1.97,0
Justin Torres,4,21154379,"[4.0, 1.75, 2.75, 1.25, 1.5]",1.81,1
Bailey Duran DDS,3,22065965,"[2.75, 2.25, 2.5, 5.0, 4.0, 1.5, 2.0]",2.2,2
Courtney Mills,3,22937526,"[2.25, 2.0, 5.0, 2.75, 4.0, 1.75, 2.25]",2.2,2
Jeremy Dalton,4,21465193,"[4.0, 3.0, 1.5, 5.0, 3.0]",2.5,2
Elizabeth Oliver DDS,1,24737416,"[5.0, 2.75, 1.5, 5.0, 2.0]",2.08,2
Theresa Clark,2,23426617,"[4.0, 2.75, 4.0, 2.5, 3.0, 3.0, 2.5, 3.0]",2.79,2
Matthew Moore,1,24589113,"[5.0, 5.0, 2.25, 1.5, 5.0]",1.88,3
Benjamin Smith,1,24965610,"[1.25, 2.0, 1.75, 3.0, 3.0]",2.27,0
Kirk Carter,2,23756798,"[1.5, 2.25, 1.0, 2.75, 1.25, 2.0, 2.5, 1.25]",1.83,0
Michael Warner,1,24254573,"[3.0, 2.75, 2.25, 2.75, 1.25]",2.36,0
Michael Bradshaw,4,21751401,"[1.0, 2.25, 5.0, 1.25, 5.0]",1.5,2
Lori Guerrero,2,23382825,"[3.0, 2.5, 2.75, 1.75, 2.5, 5.0, 1.5, 1.5]",2.17,1
Jessica Stephens,4,21609379,"[2.5, 2.5, 1.0, 1.75, 1.75]",1.9,0
Susan Serrano,3,22191825,"[2.25, 1.75, 2.75, 1.25, 2.0, 5.0, 2.75]",2.12,1
Christopher Parker,3,22969691,"[2.25, 2.25, 2.75, 4.0, 1.5, 5.0, 2.0]",2.15,2
Laura Roberts,1,24251341,"[1.5, 2.25, 1.5, 3.0, 2.5]",2.2,0
Michael Lyons,4,21929662,"[2.75, 5.0, 3.0, 5.0, 1.5]",2.42,2
Kathryn Snyder,2,23742257,"[4.0, 1.0, 2.25, 1.0, 2.75, 1.5, 1.75, 2.5]",1.82,1
Andrew Reynolds,4,21676772,"[1.25, 4.0, 1.0, 1.75, 2.0]",1.5,1
David Davis,1,24438427,"[4.0, 2.75, 3.0, 3.0, 1.25]",2.5,1
Sara Johnston,1,24485807,"[3.0, 1.75, 2.5, 1.25, 5.0]",2.05,1
