Student Name,Year Level,Student Number,Grades,GWA,Failed Subjects
Becky Navarro,3,22205351,"[2.5, 2.75, 1.0, 1.0, 5.0, 1.25, 1.75]",1.71,1
Stephanie Dyer MD,1,24393306,"[1.0, 1.25, 1.25, 2.0, 1.0]",1.32,0
Kathleen Pineda,1,24983446,"[4.0, 1.5, 1.5, 5.0, 2.25]",1.75,2
Sarah Vincent,4,21966575,"[4.0, 1.75, 2.75, 2.5, 5.0]",2.33,2
Michael Davis,4,21082709,"[1.5, 1.25, 1.25, 2.75, 1.25]",1.6,0
Timothy Sullivan,4,21110488,"[2.5, 1.75, 2.75, 1.0, 1.75]",1.95,0
Laura Green,3,22516120,"[3.0, 4.0, 1.25, 5.0, 1.25, 2.5, 1.0]",1.8,2
Susan Murphy,1,24318868,"[1.0, 2.25, 4.0, 2.25, 2.25]",2.02,1
Cody Thompson,3,22680710,"[4.0, 1.0, 1.0, 1.0, 2.5, 2.0, 2.0]",1.58,1
Michelle Hanna,3,22057401,"[5.0, 2.5, 2.0, 2.0, 2.25, 1.25, 2.25]",2.04,1
Tina Walker,1,24381655,"[4.0, 2.75, 2.0, 1.25, 2.75]",2.19,1
Daniel Reyes,3,22821766,"[2.75, 1.5, 1.75, 5.0, 4.0, 2.0, 2.0]",2.0,2
Courtney Ellis MD,4,21615541,"[4.0, 3.0, 3.0, 2.75, 3.0]",2.94,1
Joshua Austin,4,21466000,"[1.5, 2.0, 1.75, 2.25, 4.0]",1.88,1
Suzanne Callahan,3,22289876,"[4.0, 1.0, 2.0, 5.0, 1.75, 3.0, 2.25]",2.0,2
Lauren Baker,3,22909820,"[2.0, 1.5, 1.25, 2.75, 2.25, 2.0, 1.5]",1.89,0
Phillip Moore,2,23014429,"[2.75, 3.0, 1.0, 1.5, 1.25, 2.5, 2.0, 3.0]",2.1,0
Michael Martinez,2,23851597,"[5.0, 2.25, 1.25, 5.0, 2.75, 4.0, 1.25, 1.25]",1.75,3
Christina Coleman,2,23276454,"[1.0, 2.5, 1.5, 5.0, 2.75, 4.0, 4.0, 4.0]",2.02,4
James Murphy,3,22590232,"[5.0, 2.25, 1.25, 3.0, 2.75, 5.0, 1.0]",2.05,2
Cesar Johnston,4,21548233,"[2.5, 3.0, 4.0, 3.0, 2.5]",2.75,1
Christina Williams,3,22335371,"[2.0, 2.25, 1.25, 2.75, 2.25, 1.25, 2.5]",2.04,0
Michael Nelson,1,24045340,"[2.5, 4.0, 1.0, 4.0, 2.25]",1.84,2
Angel Warner,1,24076132,"[1.0, 4.0, 2.5, 2.25, 1.25]",1.82,1
Daniel Blair,2,23140713,"[2.25, 2.75, 4.0, 2.5, 3.0, 5.0, 5.0, 2.25]",2.57,3
Martin Mitchell,3,22164359,"[2.5, 2.75, 4.0, 1.25, 5.0, 4.0, 1.0]",1.88,3
Elizabeth Castillo,2,23164367,"[1.5, 4.0, 3.0, 1.25, 2.25, 1.5, 1.0, 2.75]",1.91,1
Thomas Goodwin,2,23085652,"[2.75, 2.5, 1.5, 2.75, 3.0, 1.0, 1.25, 2.75]",2.16,0
Sarah Bishop,1,24604874,"[1.5, 2.25, 1.75, 2.0, 2.5]",2.04,0
Kelly Andrews,3,22896154,"[2.25, 5.0, 1.5, 2.25, 3.0, 2.75, 2.75]",2.42,1
Timothy Fowler,1,24920860,"[1.0, 4.0, 2.0, 1.25, 5.0]",1.47,2
Lisa Johnson,2,23806367,"[3.0, 1.5, 1.5, 4.0, 2.75, 3.0, 1.75, 1.25]",2.06,1
Stephen Lyons,2,23384112,"[2.0, 2.0, 5.0, 2.75, 2.0, 3.0, 1.0, 2.75]",2.23,1
Stephanie Hall,3,22051104,"[1.25, 4.0, 1.75, 2.0, 4.0, 1.0, 5.0]",1.5,3
Miss Monica Black,3,22630135,"[4.0, 4.0, 2.75, 1.75, 3.0, 2.0, 2.25]",2.35,2
John Murray,1,24417035,"[4.0, 1.75, 2.0, 2.5, 2.5]",2.19,1
Glenn Ramos,4,21047461,"[5.0, 4.0, 1.25, 1.0, 2.75]",1.67,2
Charles Brock,4,21533661,"[4.0, 1.5, 5.0, 5.0, 4.0]",1.5,4
Jacob Logan,3,22632031,"[1.25, 2.5, 1.0, 4.0, 1.0, 2.75, 2.25]",1.79,1
Jillian Collins,2,23341600,"[2.0, 2.5, 2.25, 1.75, 5.0, 1.5, 5.0, 2.0]",2.0,2
Cynthia Ford,2,23700471,"[1.0, 2.25, 1.75, 4.0, 5.0, 1.75, 2.75, 2.25]",2.01,2
Zachary Allen,2,23808481,"[3.0, 2.5, 2.75, 2.0, 4.0, 1.25, 2.0, 1.5]",2.1,1
Kelsey Williams,2,23557619,"[1.0, 2.75, 1.0, 5.0, 1.5, 2.75, 2.75, 2.0]",2.01,1
Stephen Kramer,3,22666408,"[2.75, 5.0, 1.0, 4.0, 2.5, 4.0, 4.0]",2.08,4
Christopher Mays,1,24102475,"[5.0, 3.0, 1.75, 1.75, 1.25]",1.94,1
Michelle Meadows,3,22519102,"[2.75, 2.25, 2.5, 1.5, 3.0, 5.0, 1.5]",2.25,1
Jonathan Mcintyre,3,22000125,"[4.0, 3.0, 1.25, 1.25, 2.0, 4.0, 1.75]",1.85,2
David Keith,2,23109869,"[1.75, 2.0, 1.0, 2.25, 5.0, 2.0, 3.0, 1.25]",1.9,1
Kaylee Anderson,4,21620091,"[2.75, 1.5, 1.25, 4.0, 1.25]",1.69,1
Elizabeth Todd,1,24719310,"[1.0, 3.0, 2.75, 1.5, 1.0]",1.91,0
Christian Steele,3,22248853,"[1.25, 2.5, 1.75, 3.0, 2.0, 3.0, 5.0]",2.25,1
James Gonzales,2,23836615,"[2.0, 2.75, 4.0, 1.75, 2.5, 2.0, 5.0, 2.5]",2.26,2
John Wong,4,21441127,"[2.25, 1.0, 1.25, 2.75, 2.0]",1.85,0
Michael Tucker,3,22079088,"[2.75, 2.25, 1.0, 2.25, 3.0, 2.25, 1.75]",2.18,0
Donna Estrada,4,21284980,"[2.25, 2.25, 5.0, 2.0, 4.0]",2.17,2
Michael Becker,1,24392096,"[2.25, 2.75, 5.0, 1.0, 2.5]",2.11,1
Karen Clements,1,24301900,"[3.0, 1.5, 2.75, 1.0, 2.75]",2.14,0
Bradley Rivera,4,21304914,"[2.25, 1.25, 5.0, 1.75, 1.0]",1.56,1
Steven Conley,4,21480414,"[1.25, 2.5, 2.0, 2.25, 2.25]",2.05,0
Mark Harris,4,21277945,"[2.75, 1.25, 5.0, 4.0, 4.0]",2.0,3
Jennifer Brown,3,22254406,"[1.75, 1.75, 3.0, 5.0, 3.0, 1.5, 1.5]",2.08,1
Angela Shannon,4,21785160,"[1.25, 1.25, 2.0, 5.0, 2.75]",1.81,1
Lisa Sanchez,2,23417604,"[2.25, 5.0, 1.0, 2.25, 2.75, 2.5, 1.5, 2.25]",2.06,1
Amanda Rodriguez,2,23379689,"[3.0, 3.0, 3.0, 2.75, 2.5, 4.0, 2.0, 2.75]",2.7,1
Benjamin Russo,3,22148870,"[1.0, 1.0, 2.0, 2.25, 1.25, 1.75, 1.25]",1.5,0
Rhonda Sandoval,4,21147413,"[1.75, 2.75, 2.25, 2.75, 2.25]",2.35,0
Donald Franklin,4,21701799,"[2.5, 2.0, 2.25, 1.75, 2.0]",2.1,0
Lori Morris,1,24111280,"[2.75, 5.0, 2.5, 1.0, 4.0]",2.0,2
Jennifer Burton,1,24714242,"[2.0, 2.0, 2.25, 1.75, 2.0]",2.0,0
Mary Stevens,3,22683283,"[5.0, 1.5, 5.0, 2.25, 2.5, 2.25, 1.0]",1.9,2
Christina Kim,1,24017531,"[1.25, 1.75, 2.5, 1.75, 2.75]",2.05,0
Kari Smith,3,22952787,"[5.0, 4.0, 1.5, 2.25, 2.25, 2.75, 4.0]",2.19,3
Brittney Johnson,1,24077888,"[2.75, 2.5, 2.5, 3.0, 2.25]",2.59,0
Patricia Rodriguez,3,22560177,"[1.0, 2.5, 1.0, 2.25, 2.0, 2.0, 1.0]",1.68,0
Joel Martinez,4,21522349,"[2.0, 2.75, 2.5, 5.0, 1.5]",2.19,1
Darlene Holt,3,22696603,"[1.25, 1.5, 3.0, 2.75, 1.75, 1.0, 1.75]",1.86,0
Kelly Hall,1,24055846,"[1.5, 1.75, 4.0, 1.5, 2.75]",1.91,1
Alexandra Edwards,3,22658997,"[5.0, 1.25, 5.0, 3.0, 5.0, 2.25, 3.0]",2.38,3
Brandon Smith,3,22125119,"[2.0, 1.75, 3.0, 2.25, 3.0, 2.0, 1.25]",2.18,0
Andrea Wilson,4,21959360,"[1.75, 2.25, 5.0, 2.25, 4.0]",2.08,2
Michael Harris,1,24524974,"[1.0, 1.75, 2.5, 2.25, 2.0]",1.96,0
Kristin Glass,1,24693398,"[1.25, 3.0, 4.0, 2.75, 1.5]",2.2,1
Wendy Howard,2,23203067,"[1.25, 5.0, 2.0, 2.5, 1.0, 2.5, 1.75, 4.0]",1.87,2
Erica Campbell,3,22875282,"[1.5, 1.0, 4.0, 2.75, 1.75, 4.0, 1.25]",1.65,2
Alexander Cummings,4,21265841,"[5.0, 3.0, 1.5, 1.25, 1.25]",1.75,1
Lonnie Brown,1,24086223,"[5.0, 1.0, 1.5, 3.0, 1.0]",1.62,1
David Landry,1,24322137,"[2.75, 2.5, 2.25, 2.75, 5.0]",2.55,1
Herbert Parker,3,22189364,"[1.5, 1.0, 3.0, 1.75, 2.75, 3.0, 5.0]",2.17,1
Mathew Turner,2,23698265,"[2.5, 2.0, 2.25, 2.75, 1.0, 4.0, 3.0, 3.0]",2.35,1
Erik Gomez,1,24269367,"[4.0, 2.5, 2.25, 1.75, 3.0]",2.38,1
Cindy Martinez,4,21516781,"[2.0, 4.0, 4.0, 2.5, 4.0]",2.25,3
Kelly Campbell,4,21447414,"[2.5, 2.75, 2.25, 4.0, 1.75]",2.31,1
Hunter Yu,3,22419123,"[1.0, 2.75, 1.5, 2.5, 4.0, 1.5, 2.25]",1.92,1
Jill Hamilton,3,22365140,"[2.0, 2.5, 2.0, 2.0, 4.0, 2.5, 2.5]",2.25,1
Michael Griffith,2,23467132,"[2.5, 2.0, 2.75, 2.0, 1.75, 1.75, 3.0, 2.0]",2.21,0
Mario Garcia,2,23279751,"[5.0, 4.0, 2.5, 3.0, 2.75, 5.0, 1.25, 4.0]",2.38,4
Dylan Robles,2,23656787,"[2.5, 1.75, 5.0, 2.0, 3.0, 2.5, 1.5, 1.25]",2.05,1
Kayla Kim,3,22627295,"[3.0, 2.75, 2.25, 2.5, 4.0, 2.25, 1.25]",2.33,1
Karen Scott,3,22453918,"[2.75, 1.75, 1.25, 1.0, 1.25, 2.25, 4.0]",1.71,1
Rebecca Hughes,3,22367370,"[1.25, 5.0, 2.75, 2.75, 2.75, 1.75, 3.0]",2.38,1
Timothy Smith,1,24116344,"[1.0, 1.25, 1.5, 1.25, 1.25]",1.27,0
Caroline Lee,1,24566457,"[4.0, 1.75, 3.0, 5.0, 1.25]",2.0,2
Marcus Flores,1,24058950,"[2.0, 2.75, 2.25, 4.0, 2.5]",2.41,1
Kayla Mora,2,23497237,"[4.0, 3.0, 4.0, 2.0, 2.0, 2.75, 1.0, 5.0]",2.15,3
Debra Schultz,3,22786025,"[3.0, 1.0, 3.0, 2.0, 2.5, 5.0, 1.0]",2.08,1
Elizabeth Ramsey,4,21398441,"[2.75, 2.0, 2.25, 1.5, 2.0]",2.1,0
William Russo,4,21763500,"[1.25, 5.0, 3.0, 1.5, 4.0]",1.92,2
Michael Anderson,4,21598098,"[1.75, 1.75, 2.5, 4.0, 1.25]",1.81,1
Jodi Reese MD,4,21083256,"[2.0, 2.25, 4.0, 1.5, 5.0]",1.92,2
Alyssa Lloyd,2,23542026,"[1.75, 2.25, 2.5, 5.0, 1.0, 1.0, 1.25, 1.75]",1.64,1
Christopher Alexander,1,24273335,"[1.0, 5.0, 5.0, 1.75, 2.25]",1.75,2
Amber Jackson,4,21222836,"[1.75, 2.5, 3.0, 1.0, 1.25]",1.9,0
Joshua Graves,2,23597783,"[4.0, 2.0, 2.5, 4.0, 3.0, 2.5, 2.25, 2.5]",2.46,2
Rodney Ward,4,21783168,"[5.0, 2.5, 3.0, 4.0, 1.5]",2.33,2
Jacqueline West MD,3,22860537,"[1.5, 5.0, 1.75, 1.5, 1.5, 1.75, 4.0]",1.6,2
Timothy Garza,4,21203636,"[3.0, 2.75, 2.75, 1.75, 2.75]",2.6,0
Brittany Tucker,1,24580970,"[4.0, 2.75, 3.0, 1.5, 2.0]",2.31,1
Devon Foster,2,23425204,"[2.5, 2.25, 2.5, 1.5, 1.75, 2.25, 5.0, 1.75]",2.05,1
Judith Hale,4,21007199,"[2.25, 1.0, 2.25, 3.0, 1.75]",2.05,0
Leslie Lloyd DVM,2,23296152,"[1.25, 2.5, 4.0, 1.5, 1.75, 2.75, 4.0, 2.5]",2.09,2
Hannah Monroe,3,22291558,"[1.75, 2.25, 1.5, 3.0, 2.75, 2.25, 4.0]",2.25,1
Alicia Weiss,2,23161983,"[2.0, 5.0, 1.5, 4.0, 2.0, 4.0, 3.0, 2.0]",2.11,3
Stephanie Rogers,1,24935035,"[2.0, 1.25, 5.0, 4.0, 1.0]",1.34,2
Samantha Wallace,2,23653848,"[1.25, 2.75, 1.75, 1.25, 2.0, 1.25, 1.5, 5.0]",1.7,1
Jane Mccall,4,21899781,"[2.25, 2.0, 2.25, 1.0, 5.0]",1.88,1
Dana Patterson,1,24919789,"[1.75, 1.25, 2.5, 4.0, 1.75]",1.82,1
Jamie Murphy,4,21214568,"[2.5, 4.0, 2.5, 1.0, 2.0]",2.0,1
Emma Freeman,4,21089703,"[1.5, 2.75, 3.0, 2.25, 1.0]",2.1,0
Fernando Wilson,4,21321242,"[2.25, 1.0, 1.5, 2.0, 2.0]",1.75,0
Mr. James Johnson,4,21027095,"[1.5, 2.75, 4.0, 3.0, 2.5]",2.44,1
Christine Smith DDS,1,24287866,"[1.25, 2.25, 1.75, 1.25, 1.5]",1.62,0
Kenneth Gentry,2,23755599,"[2.5, 2.0, 1.25, 4.0, 5.0, 3.0, 1.5, 3.0]",2.19,2
John Conley,3,22255440,"[5.0, 2.0, 1.25, 2.0, 5.0, 2.75, 4.0]",2.0,3
Carlos Brown,4,21100901,"[1.75, 4.0, 1.25, 4.0, 5.0]",1.5,3
Pamela Simmons,1,24981279,"[5.0, 2.25, 1.0, 1.5, 1.75]",1.62,1
William Wright,4,21478054,"[4.0, 4.0, 2.0, 1.0, 2.25]",1.75,2
Rhonda Chavez,4,21955152,"[1.5, 1.5, 2.25, 3.0, 1.0]",1.85,0
Erin Barrera,3,22737838,"[1.75, 1.25, 1.0, 2.0, 3.0, 1.75, 4.0]",1.79,1
Loretta Franco,4,21361066,"[2.0, 2.5, 2.25, 3.0, 2.75]",2.5,0
Sharon Gomez,3,22569642,"[1.5, 2.75, 5.0, 1.0, 2.0, 2.75, 3.0]",2.17,1
Tony Graham,1,24465493,"[2.5, 5.0, 1.25, 2.0, 2.75]",2.09,1
Robert Bell,3,22660552,"[1.75, 2.0, 2.75, 2.0, 2.0, 2.0, 2.0]",2.07,0
Keith Miller,4,21847566,"[1.25, 1.5, 4.0, 1.0, 4.0]",1.25,2
Lisa Williams,3,22560741,"[1.25, 1.5, 2.25, 5.0, 5.0, 3.0, 2.0]",2.0,2
Edward Jordan,1,24351819,"[2.75, 2.25, 1.5, 3.0, 5.0]",2.34,1
Rebecca Yang,4,21590743,"[1.25, 3.0, 1.75, 2.25, 2.5]",2.15,0
Kayla Miller,2,23417229,"[5.0, 1.5, 1.25, 1.5, 1.5, 5.0, 2.25, 2.25]",1.71,2
Patrick Johnson,1,24838124,"[1.0, 5.0, 4.0, 4.0, 3.0]",2.2,3
Alan Nguyen,4,21871564,"[2.0, 3.0, 2.0, 2.5, 2.5]",2.4,0
John Thompson,1,24344641,"[2.5, 1.25, 5.0, 1.25, 2.0]",1.68,1
Autumn Mccormick,2,23718588,"[2.5, 3.0, 2.75, 1.25, 1.0, 2.25, 2.75, 2.75]",2.27,0
Jennifer Blackwell,1,24631802,"[2.0, 1.75, 2.25, 1.0, 2.5]",1.89,0
Kristin Walsh,4,21861854,"[2.5, 4.0, 1.5, 1.5, 2.75]",2.06,1
Charles Nolan,2,23675542,"[5.0, 1.5, 5.0, 1.0, 1.0, 1.25, 2.5, 2.0]",1.54,2
Shane Reyes,1,24257436,"[4.0, 1.5, 1.25, 5.0, 1.25]",1.33,2
Lisa Ward,2,23242825,"[2.75, 4.0, 3.0, 1.75, 5.0, 2.25, 4.0, 1.0]",2.11,3
Sarah Cruz MD,3,22650223,"[4.0, 1.75, 2.75, 2.75, 2.75, 4.0, 2.25]",2.45,2
Teresa Howard,4,21038556,"[2.75, 1.0, 2.75, 1.75, 2.5]",2.15,0
Joseph Ford,4,21707282,"[4.0, 1.0, 2.5, 1.25, 2.5]",1.81,1
Lance Smith,1,24385272,"[2.75, 1.25, 2.25, 4.0, 1.5]",1.86,1
Melanie Arnold,4,21482846,"[1.25, 4.0, 2.25, 2.25, 5.0]",1.92,2
Keith Lowery,3,22390314,"[2.5, 5.0, 4.0, 2.25, 5.0, 1.25, 1.75]",1.94,3
Kelli Bennett,1,24979854,"[5.0, 4.0, 2.0, 1.0, 1.75]",1.58,2
Jesus Benjamin,4,21910579,"[2.0, 1.75, 1.5, 2.5, 2.0]",1.95,0
Manuel Warren,4,21156896,"[1.25, 5.0, 3.0, 2.25, 2.25]",2.19,1
David Green,2,23512348,"[1.75, 1.75, 1.75, 4.0, 1.0, 5.0, 1.75, 5.0]",1.59,3
Brandon Carey,1,24954323,"[1.0, 5.0, 3.0, 2.25, 2.75]",2.36,1
Michael Freeman,2,23654646,"[3.0, 5.0, 2.0, 3.0, 1.75, 3.0, 1.5, 1.5]",2.21,1
Jordan Johnson,4,21550309,"[4.0, 2.75, 1.5, 1.5, 1.0]",1.69,1
Calvin Cervantes,1,24779166,"[1.75, 3.0, 2.5, 1.75, 3.0]",2.45,0
Tonya Vazquez,3,22400076,"[1.5, 1.75, 1.5, 2.5, 2.5, 2.75, 3.0]",2.21,0
Kevin Alvarado,4,21589559,"[2.25, 3.0, 3.0, 4.0, 2.75]",2.75,1
Jason Flynn,2,23755704,"[1.0, 2.25, 5.0, 1.75, 2.25, 2.0, 2.25, 2.25]",2.01,1
Andre English,4,21475642,"[4.0, 2.5, 2.0, 2.5, 1.25]",2.06,1
Lawrence Compton,1,24238863,"[3.0, 2.0, 2.5, 1.0, 4.0]",2.05,1
Dennis Rogers,1,24098849,"[1.25, 5.0, 2.0, 1.75, 5.0]",1.72,2
Jon Smith,1,24673342,"[2.25, 1.75, 2.5, 1.25, 2.0]",1.93,0
Yvette Lewis,4,21655206,"[1.5, 3.0, 1.0, 2.0, 1.75]",1.85,0
James Bush,2,23812756,"[2.0, 2.5, 2.25, 2.5, 2.5, 2.25, 3.0, 1.5]",2.33,0
Scott Gould,2,23732586,"[1.0, 2.0, 1.5, 2.25, 1.0, 3.0, 2.25, 2.0]",1.91,0
Bruce Lawson,2,23874612,"[2.75, 2.5, 1.25, 1.5, 1.25, 3.0, 1.5, 1.5]",1.87,0
Jason Gonzalez,1,24458408,"[1.75, 1.25, 2.0, 2.25, 2.5]",1.96,0
Jennifer Bass,4,21402890,"[2.25, 1.75, 4.0, 1.0, 1.5]",1.62,1
Nichole Wade,2,23554239,"[1.5, 2.75, 2.75, 2.25, 1.75, 1.75, 2.5, 2.25]",2.22,0
Nancy Ballard,1,24674231,"[4.0, 4.0, 4.0, 4.0, 2.5]",2.5,4
Christopher Hall,3,22638046,"[3.0, 2.25, 1.25, 2.0, 2.5, 1.0, 1.5]",1.93,0
Audrey Farmer,4,21016384,"[1.0, 5.0, 1.0, 4.0, 1.0]",1.0,2
Adrian Gross,2,23122124,"[1.0, 4.0, 1.5, 2.75, 3.0, 1.0, 1.75, 5.0]",1.88,2
Rachel Wood,2,23498355,"[3.0, 2.25, 2.75, 1.25, 4.0, 1.0, 2.75, 1.25]",1.99,1
Nancy Hall,2,23675171,"[2.0, 1.5, 4.0, 1.25, 2.25, 1.0, 5.0, 4.0]",1.57,3
Antonio Torres,3,22659770,"[2.0, 2.25, 1.25, 1.5, 5.0, 3.0, 3.0]",2.17,1
Crystal Flowers,4,21713963,"[2.25, 1.5, 1.5, 1.75, 2.25]",1.85,0
Tiffany Hill,2,23278930,"[4.0, 2.5, 5.0, 5.0, 5.0, 1.75, 5.0, 2.0]",2.08,5
Paula Williams,1,24992872,"[2.0, 4.0, 4.0, 2.25, 2.25]",2.19,2
Brian Rivera,4,21432784,"[2.5, 1.0, 1.75, 2.5, 2.0]",1.95,0
Tracy Garrison,2,23215370,"[2.25, 5.0, 1.25, 1.5, 1.5, 1.25, 4.0, 2.75]",1.72,2
Kevin Shaw,3,22619813,"[2.25, 4.0, 3.0, 4.0, 1.25, 2.5, 4.0]",2.25,3
Douglas Shaw,2,23520197,"[1.0, 2.75, 5.0, 2.25, 2.75, 4.0, 4.0, 4.0]",2.3,4
Michelle Turner,3,22920441,"[4.0, 2.75, 2.5, 2.0, 2.25, 1.75, 5.0]",2.25,2
Dr. Elizabeth Anderson,4,21037104,"[1.25, 2.25, 2.5, 1.25, 1.5]",1.75,0
Harold Castillo,1,24529451,"[2.25, 1.0, 1.0, 3.0, 1.0]",1.61,0
Lawrence Cortez,3,22956530,"[5.0, 3.0, 1.25, 4.0, 1.5, 2.75, 2.25]",2.15,2
Carl Gonzales,3,22581692,"[2.0, 4.0, 2.25, 2.0, 4.0, 2.0, 2.5]",2.15,2
Nichole Walton,4,21884308,"[1.0, 2.25, 2.75, 1.5, 3.0]",2.1,0
Martin Phillips,4,21617369,"[4.0, 4.0, 1.75, 1.25, 1.75]",1.58,2
Sara Oconnor,3,22486846,"[1.0, 5.0, 5.0, 1.75, 5.0, 2.75, 2.0]",1.88,3
Nathaniel Johnston,1,24410508,"[2.0, 1.75, 1.5, 1.0, 5.0]",1.52,1
Amy Smith,4,21061489,"[2.0, 1.25, 1.5, 4.0, 2.5]",1.81,1
William Reed,1,24871577,"[1.75, 3.0, 4.0, 2.5, 1.25]",2.16,1
Cindy Romero,3,22624787,"[2.0, 1.75, 3.0, 2.75, 4.0, 4.0, 1.25]",2.15,2
Emily Miller,2,23395950,"[2.0, 1.25, 2.0, 1.25, 2.5, 4.0, 2.0, 1.0]",1.7,1
Angel Johnson,1,24463907,"[1.5, 4.0, 2.5, 5.0, 2.0]",2.06,2
Gregory Martin,3,22436028,"[1.25, 4.0, 2.75, 3.0, 5.0, 2.75, 4.0]",2.44,3
Melinda Hines,2,23128840,"[1.5, 2.75, 2.25, 1.0, 4.0, 1.5, 2.0, 1.25]",1.76,1
