Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed
Jennifer Brown,4,21518314,2.75,1.5,1.5,4.0,5.0,,,,1.92,2
Angela Shannon,1,24713579,1.5,1.25,1.5,1.5,5.0,,,,1.43,1
Lisa Sanchez,4,21855164,2.25,2.25,1.25,3.0,1.75,,,,2.1,0
Amanda Rodriguez,2,23596791,3.0,1.25,5.0,1.5,2.0,1.0,5.0,4.0,1.66,3
Benjamin Russo,1,24316436,4.0,3.0,2.75,3.0,2.75,,,,2.88,1
Rhonda Sandoval,4,21298152,1.25,2.25,2.5,2.0,2.0,,,,2.0,0
Donald Franklin,1,24730856,3.0,2.0,2.5,2.5,5.0,,,,2.45,1
Lori Morris,3,22276278,1.25,1.75,2.0,2.0,5.0,2.5,2.0,,1.92,1
Jennifer Burton,1,24170604,1.25,2.5,1.25,5.0,1.25,,,,1.59,1
Mary Stevens,4,21425346,2.0,1.75,2.75,1.25,3.0,,,,2.15,0
Christina Kim,3,22896154,2.25,3.0,3.0,2.5,3.0,2.75,1.25,,2.54,0
Kari Smith,3,22258778,1.0,2.25,2.75,2.75,1.0,2.5,1.75,,2.0,0
Brittney Johnson,1,24920860,5.0,1.25,3.0,1.0,1.5,,,,1.69,1
Patricia Rodriguez,1,24941280,2.0,1.75,2.25,1.0,2.5,,,,1.89,0
Joel Martinez,4,21367822,2.5,3.0,2.5,1.25,3.0,,,,2.45,0
Darlene Holt,4,21831238,2.25,2.0,2.5,4.0,1.5,,,,2.06,1
Kelly Hall,3,22112447,1.5,2.75,1.5,2.5,2.75,5.0,2.25,,2.21,1
Alexandra Edwards,3,22807505,2.25,2.0,1.5,5.0,1.5,5.0,1.0,,1.65,2
Brandon Smith,1,24104193,1.0,1.25,2.5,2.0,1.25,,,,1.64,0
Andrea Wilson,3,22904630,1.5,2.25,2.75,2.0,1.75,2.5,4.0,,2.12,1
Michael Harris,1,24359973,1.5,1.25,5.0,1.25,5.0,,,,1.31,2
Kristin Glass,3,22504170,4.0,1.75,1.5,2.0,5.0,1.5,3.0,,1.95,2
Wendy Howard,2,23593466,1.5,2.25,2.75,4.0,3.0,1.75,5.0,2.25,2.29,2
Erica Campbell,4,21047461,4.0,1.0,2.0,5.0,2.5,,,,1.83,2
Alexander Cummings,1,24076533,2.25,5.0,1.0,1.5,1.5,,,,1.5,1
Lonnie Brown,4,21619299,5.0,1.75,4.0,1.75,2.75,,,,2.08,2
David Landry,3,22632031,2.75,2.75,4.0,2.25,2.5,1.0,1.75,,2.17,1
Herbert Parker,1,24609075,3.0,2.25,2.25,2.5,2.75,,,,2.52,0
Mathew Turner,2,23341600,1.0,2.75,1.75,2.5,2.75,2.75,1.0,2.75,2.21,0
Erik Gomez,3,22653243,1.5,3.0,1.5,4.0,1.0,2.5,1.25,,1.79,1
Cindy Martinez,4,21004710,2.5,1.0,1.75,5.0,3.0,,,,2.06,1
Kelly Campbell,3,22393758,5.0,2.25,1.5,2.75,1.5,2.75,1.25,,2.0,1
Hunter Yu,2,23808481,2.25,4.0,1.5,2.75,2.0,3.0,5.0,5.0,2.3,3
Jill Hamilton,4,21749142,1.5,3.0,2.0,2.5,1.25,,,,2.05,0
Michael Griffith,2,23557619,4.0,2.25,2.25,5.0,2.0,1.75,4.0,1.0,1.85,3
Mario Garcia,1,24702774,1.75,1.25,2.0,2.5,5.0,,,,1.89,1
Dylan Robles,3,22666408,4.0,2.25,5.0,1.25,1.75,1.25,4.0,,1.62,3
Kayla Kim,4,21096990,2.75,4.0,3.0,2.25,2.0,,,,2.5,1
Karen Scott,1,24024758,5.0,4.0,2.0,1.0,1.75,,,,1.58,2
Rebecca Hughes,2,23318551,3.0,2.75,4.0,1.25,1.0,2.25,2.75,4.0,2.12,2
Timothy Smith,1,24027562,2.0,1.75,1.5,2.5,2.0,,,,1.95,0
Caroline Lee,2,23500012,5.0,3.0,2.75,1.25,2.25,2.5,5.0,3.0,2.46,2
Marcus Flores,3,22981149,4.0,2.5,1.25,5.0,3.0,2.25,2.25,,2.25,2
Kayla Mora,2,23821098,4.0,1.5,2.25,1.25,1.5,1.75,5.0,2.0,1.71,2
Debra Schultz,4,21934054,3.0,1.75,1.75,1.75,4.0,,,,2.06,1
Elizabeth Ramsey,1,24966200,1.0,5.0,1.75,5.0,1.25,,,,1.38,2
William Russo,1,24721918,4.0,2.25,2.0,1.75,1.5,,,,1.88,1
Michael Anderson,1,24719310,1.75,1.0,5.0,3.0,2.25,,,,2.02,1
Jodi Reese MD,1,24872042,2.75,1.5,2.5,2.25,5.0,,,,2.2,1
Alyssa Lloyd,3,22885316,5.0,2.0,2.5,2.0,5.0,2.5,3.0,,2.4,2
Christopher Alexander,2,23848283,5.0,2.0,3.0,1.75,3.0,1.5,1.5,2.75,2.21,1
Amber Jackson,4,21615479,2.25,5.0,2.25,5.0,1.0,,,,1.83,2
Joshua Graves,2,23646644,5.0,1.75,1.0,4.0,4.0,2.75,1.5,1.5,1.7,3
Rodney Ward,1,24127501,1.0,1.25,2.75,2.75,4.0,,,,2.02,1
Jacqueline West MD,4,21450790,1.25,2.5,2.5,1.75,3.0,,,,2.2,0
Timothy Garza,4,21505853,2.5,1.75,3.0,2.25,5.0,,,,2.38,1
Brittany Tucker,4,21284980,2.0,1.0,1.0,1.0,2.75,,,,1.55,0
Devon Foster,3,22549039,2.5,1.5,1.75,1.5,2.5,2.5,2.75,,2.14,0
Judith Hale,2,23096570,3.0,5.0,2.5,5.0,2.25,3.0,4.0,2.25,2.57,3
Leslie Lloyd DVM,4,21130190,2.25,4.0,2.25,3.0,3.0,,,,2.62,1
Hannah Monroe,1,24827076,4.0,2.75,4.0,5.0,1.75,,,,2.25,3
Alicia Weiss,2,23049145,2.75,2.25,2.25,2.75,1.0,2.0,1.0,2.25,2.0,0
Stephanie Rogers,1,24307480,5.0,1.75,2.25,2.0,2.25,,,,2.06,1
Samantha Wallace,3,22141645,2.25,2.5,2.0,2.75,2.25,2.5,2.0,,2.32,0
Jane Mccall,3,22627794,1.5,4.0,2.5,2.0,2.5,1.25,4.0,,1.95,2
Dana Patterson,3,22719942,1.0,1.5,1.75,5.0,3.0,3.0,5.0,,2.05,2
Jamie Murphy,3,22440633,2.5,1.75,3.0,2.0,2.5,1.0,4.0,,2.12,1
Emma Freeman,2,23267851,1.0,5.0,1.0,4.0,3.0,3.0,2.0,4.0,2.07,3
Fernando Wilson,4,21011472,1.25,5.0,2.0,1.75,5.0,,,,1.67,2
Mr. James Johnson,3,22176045,1.0,2.5,5.0,2.75,1.75,1.75,2.0,,1.96,1
Christine Smith DDS,1,24576253,1.5,2.25,1.75,2.5,1.25,,,,1.88,0
Kenneth Gentry,2,23796898,2.0,3.0,4.0,5.0,5.0,3.0,4.0,2.75,2.75,4
John Conley,4,21694751,2.5,2.25,2.25,1.5,1.0,,,,1.9,0
Carlos Brown,3,22887000,2.5,1.5,3.0,1.0,2.0,1.75,1.5,,1.89,0
Pamela Simmons,3,22513187,3.0,1.25,1.5,2.75,2.25,2.5,2.0,,2.18,0
William Wright,1,24474133,2.5,2.25,2.5,2.5,2.25,,,,2.39,0
Rhonda Chavez,4,21575770,3.0,1.5,1.75,2.75,1.75,,,,2.15,0
Erin Barrera,1,24799645,1.5,2.25,3.0,2.5,1.0,,,,2.09,0
Loretta Franco,2,23401112,2.0,1.5,2.25,1.0,3.0,2.25,2.0,1.75,1.97,0
Sharon Gomez,1,24760917,5.0,3.0,2.75,2.0,2.5,,,,2.56,1
Tony Graham,1,24424244,1.25,1.5,2.75,2.5,1.25,,,,1.89,0
Robert Bell,3,22345683,1.5,1.25,3.0,1.5,1.5,1.25,2.0,,1.71,0
Keith Miller,2,23832565,2.25,3.0,2.0,1.0,3.0,1.75,1.25,2.0,2.02,0
Lisa Williams,1,24001753,2.25,2.5,4.0,2.5,2.0,,,,2.32,1
Edward Jordan,1,24136379,1.0,1.5,3.0,4.0,1.0,,,,1.68,1
Rebecca Yang,3,22952787,2.25,1.75,4.0,1.0,1.5,1.75,2.25,,1.75,1
Kayla Miller,2,23557980,2.25,2.0,1.5,1.75,4.0,1.5,2.75,2.75,2.06,1
Patrick Johnson,1,24778887,2.25,1.75,1.75,2.5,2.25,,,,2.09,0
Alan Nguyen,4,21685556,4.0,4.0,1.25,2.5,2.75,,,,2.17,2
John Thompson,1,24177060,2.0,1.5,1.75,1.25,4.0,,,,1.59,1
Autumn Mccormick,3,22440652,4.0,4.0,4.0,2.5,4.0,4.0,2.25,,2.38,5
Jennifer Blackwell,2,23349476,2.5,1.75,3.0,1.0,5.0,2.0,2.5,3.0,2.24,1
Kristin Walsh,2,23469660,2.25,1.25,2.0,2.5,1.0,1.5,5.0,2.5,1.84,1
Charles Nolan,2,23128730,1.0,1.25,2.5,1.75,3.0,2.0,1.0,5.0,1.82,1
Shane Reyes,2,23105584,1.0,4.0,1.0,1.75,1.25,1.5,1.5,5.0,1.35,2
Lisa Ward,4,21239278,1.25,1.5,2.0,1.0,4.0,,,,1.44,1
Sarah Cruz MD,3,22658997,1.5,2.75,3.0,1.0,1.75,5.0,3.0,,2.17,1
Teresa Howard,1,24858951,3.0,5.0,1.75,2.0,4.0,,,,2.16,2
Joseph Ford,2,23511943,3.0,1.75,2.25,2.25,3.0,2.25,2.75,1.25,2.28,0
Lance Smith,3,22841695,4.0,1.0,2.75,1.25,1.5,2.5,2.75,,1.96,1
Melanie Arnold,2,23603559,2.25,1.25,2.75,1.25,2.0,1.5,4.0,1.25,1.73,1
Keith Lowery,1,24524974,2.25,1.0,5.0,4.0,2.25,,,,1.78,2
Kelli Bennett,1,24365406,2.5,2.25,4.0,2.75,2.75,,,,2.57,1
Jesus Benjamin,2,23398189,1.0,2.0,2.25,1.25,1.5,5.0,3.0,3.0,2.05,1
Manuel Warren,4,21292203,2.5,2.75,5.0,1.25,1.75,,,,2.06,1
David Green,1,24671460,5.0,4.0,2.5,1.75,2.25,,,,2.17,2
Brandon Carey,4,21395875,1.5,1.5,1.75,2.25,1.75,,,,1.75,0
Michael Freeman,2,23822097,1.5,2.75,3.0,4.0,1.75,1.0,4.0,2.5,2.12,2
Jordan Johnson,2,23917265,5.0,5.0,5.0,1.75,5.0,2.0,1.25,5.0,1.67,5
Calvin Cervantes,3,22182119,4.0,4.0,1.5,3.0,2.75,1.5,2.0,,2.15,2
Tonya Vazquez,1,24086223,4.0,4.0,2.25,2.25,2.75,,,,2.42,2
Kevin Alvarado,1,24280132,2.0,1.75,1.5,2.75,3.0,,,,2.21,0
Jason Flynn,2,23137765,2.0,2.5,1.0,1.75,2.5,2.0,1.75,1.5,1.87,0
Andre English,4,21518936,1.25,2.25,1.75,2.75,1.0,,,,1.8,0
Lawrence Compton,3,22208378,2.25,5.0,1.25,1.5,1.5,1.25,4.0,,1.55,2
Dennis Rogers,2,23698265,2.75,2.0,2.5,1.25,4.0,3.0,1.25,1.75,2.04,1
Jon Smith,4,21457098,2.25,4.0,3.0,4.0,1.25,,,,2.17,2
Yvette Lewis,1,24269367,2.5,4.0,5.0,1.75,2.25,,,,2.12,2
James Bush,4,21538751,1.5,1.0,1.25,4.0,2.75,,,,1.62,1
Scott Gould,4,21781499,1.0,2.75,5.0,2.25,2.75,,,,2.19,1
Bruce Lawson,4,21988744,4.0,4.0,4.0,2.0,4.0,,,,2.0,4
Jason Gonzalez,4,21414675,5.0,1.5,1.0,2.0,2.0,,,,1.62,1
Jennifer Bass,2,23441912,1.25,4.0,2.75,2.5,2.0,2.25,1.75,5.0,2.13,2
Nichole Wade,2,23072692,2.75,1.0,1.75,2.75,1.25,1.0,2.0,1.25,1.67,0
Nancy Ballard,3,22536514,2.25,2.5,1.25,1.5,1.25,2.25,1.5,,1.79,0
Christopher Hall,1,24464496,5.0,4.0,2.0,2.25,1.25,,,,1.83,2
Audrey Farmer,4,21246713,2.25,1.0,1.0,3.0,1.0,,,,1.65,0
Adrian Gross,2,23647433,5.0,2.0,4.0,2.25,2.5,2.25,1.75,1.0,1.96,2
Rachel Wood,3,22822797,5.0,3.0,1.25,4.0,1.5,2.75,2.25,,2.15,2
Nancy Hall,3,22196871,2.25,2.25,3.0,1.25,2.5,5.0,4.0,,2.25,2
Antonio Torres,2,23656787,1.5,2.0,4.0,2.25,2.0,4.0,2.0,2.5,2.07,2
Crystal Flowers,4,21348621,2.5,3.0,3.0,2.0,1.75,,,,2.45,0
Tiffany Hill,3,22627295,5.0,1.0,3.0,1.0,2.25,2.75,1.5,,1.92,1
Paula Williams,4,21569515,3.0,2.5,2.5,5.0,1.25,,,,2.31,1
Brian Rivera,3,22539187,5.0,2.75,1.75,2.5,4.0,4.0,4.0,,2.33,4
Tracy Garrison,2,23101594,1.75,1.25,1.75,2.0,2.0,3.0,2.5,3.0,2.17,0
Kevin Shaw,2,23673701,2.0,2.5,1.0,5.0,5.0,1.75,5.0,2.75,2.0,3
Douglas Shaw,4,21773811,2.0,3.0,1.25,5.0,2.0,,,,2.06,1
Michelle Turner,1,24634401,1.25,1.0,2.25,1.0,3.0,,,,1.73,0
Dr. Elizabeth Anderson,2,23111566,2.0,1.75,1.5,1.0,5.0,2.5,1.0,2.5,1.74,1
Harold Castillo,3,22579381,1.25,2.0,3.0,4.0,2.0,1.25,1.5,,1.83,1
Lawrence Cortez,1,24058950,4.0,2.5,1.25,3.0,2.75,,,,2.38,1
Carl Gonzales,3,22759682,1.25,2.25,2.75,2.75,1.75,3.0,4.0,,2.29,1
Nichole Walton,3,22972379,2.5,1.25,2.25,2.5,1.5,2.0,2.75,,2.11,0
Martin Phillips,3,22470578,5.0,5.0,5.0,3.0,2.75,2.0,1.75,,2.38,3
Sara Oconnor,4,21025808,3.0,2.75,4.0,4.0,1.25,,,,2.33,2
Nathaniel Johnston,3,22606398,1.75,1.75,4.0,2.25,4.0,2.25,5.0,,2.0,3
Amy Smith,3,22417452,1.0,2.0,1.25,2.0,1.25,2.5,4.0,,1.67,1
William Reed,3,22776350,2.0,1.0,1.0,2.0,2.5,1.75,4.0,,1.71,1
Cindy Romero,1,24182999,1.0,2.75,1.5,4.0,2.5,,,,2.02,1
Emily Miller,4,21598098,5.0,2.0,2.0,2.0,1.75,,,,1.94,1
Angel Johnson,2,23369197,2.5,1.0,1.5,3.0,1.25,4.0,2.75,3.0,2.12,1
Gregory Martin,1,24832564,5.0,2.75,4.0,1.75,1.25,,,,1.92,2
Melinda Hines,3,22922542,1.5,3.0,3.0,2.0,1.0,1.5,2.75,,2.11,0
