Student Name,Year Level,Student Number,Homework/Assignment,Time Allocation,Reading and Note-Taking,Study Period Procedure,Written Works,Examination Taking,Teachers Consultation
Stephen Boyd,4,21445150,"['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Agree']"
Scott Silva,4,21600024,"['Strongly Disagree', 'Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Disagree']"
Meghan Davis,4,21802164,"['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Disagree']"
Rachel Nolan,3,22187065,"['Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Agree']"
Joseph Haynes,1,24076132,"['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Disagree']"
Ryan Norman,4,21729815,"['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']"
Kevin Richardson,3,22452587,"['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Agree']"
Larry Costa,4,21480750,"['Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Agree']"
Ashley Simpson,4,21960474,"['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Disagree']","['Disagree', 'Agree', 'Strongly Disagree']"
Tina Espinoza,4,21004653,"['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Agree']"
Vincent Guzman,4,21190702,"['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Agree']"
Cameron Miller,4,21282500,"['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Brittany Aguirre,4,21193100,"['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']"
Joseph Ramos,2,23750174,"['Strongly Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Aaron Berger,1,24827076,"['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Agree']"
Becky Navarro,3,22406338,"['Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']"
Stephanie Dyer MD,4,21947514,"['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Agree']"
Kathleen Pineda,2,23401112,"['Disagree', 'Agree', 'Agree']","['Agree', 'Disagree', 'Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']"
Sarah Vincent,2,23113637,"['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']"
Michael Davis,1,24652234,"['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']"
Timothy Sullivan,4,21185895,"['Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Agree']"
Laura Green,1,24693398,"['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']"
Susan Murphy,3,22841821,"['Strongly Disagree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Disagree']"
Cody Thompson,4,21982656,"['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Agree']"
Michelle Hanna,4,21759344,"['Disagree', 'Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']"
Tina Walker,2,23647433,"['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Agree']"
Daniel Reyes,3,22695154,"['Disagree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']"
Courtney Ellis MD,1,24115664,"['Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']"
Joshua Austin,3,22808460,"['Strongly Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']"
Suzanne Callahan,3,22592254,"['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']"
Lauren Baker,4,21839469,"['Strongly Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Agree']"
Phillip Moore,4,21371580,"['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Disagree']"
Michael Martinez,2,23961521,"['Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Agree']"
Christina Coleman,1,24909265,"['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Agree']"
James Murphy,4,21960487,"['Strongly Agree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Strongly Agree']"
Cesar Johnston,1,24287866,"['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Disagree']","['Agree', 'Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Christina Williams,2,23919909,"['Strongly Disagree', 'Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Disagree']"
Michael Nelson,2,23104839,"['Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']"
Angel Warner,3,22660552,"['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']"
Daniel Blair,3,22286590,"['Disagree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Agree', 'Agree']"
Martin Mitchell,4,21613446,"['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']"
Elizabeth Castillo,1,24854692,"['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']"
Thomas Goodwin,2,23590465,"['Strongly Disagree', 'Disagree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']"
Sarah Bishop,2,23852727,"['Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']"
Kelly Andrews,1,24579432,"['Strongly Disagree', 'Agree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Agree']","['Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']"
Timothy Fowler,3,22726546,"['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']"
Lisa Johnson,1,24762326,"['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Agree', 'Agree', 'Agree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']"
Stephen Lyons,3,22296461,"['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Agree']","['Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']"
Stephanie Hall,3,22206280,"['Strongly Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']"
Miss Monica Black,2,23761218,"['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Agree']","['Agree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Disagree']"
John Murray,4,21599167,"['Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Glenn Ramos,2,23122124,"['Disagree', 'Agree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']"
Charles Brock,3,22659770,"['Disagree', 'Agree', 'Disagree']","['Disagree', 'Disagree', 'Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Agree', 'Agree']"
Jacob Logan,4,21432784,"['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']"
Jillian Collins,1,24757999,"['Agree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']"
Cynthia Ford,3,22008049,"['Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']"
Zachary Allen,2,23699931,"['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']"
Kelsey Williams,3,22773896,"['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']"
Stephen Kramer,3,22443602,"['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Disagree']"
Christopher Mays,1,24789972,"['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Disagree']"
Michelle Meadows,2,23783609,"['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Disagree', 'Agree']"
