Student Name,Year Level,Student Number,Grades,GWA,Failed Subjects
Sara Harvey,3,22718573,"[3.0, 2.75, 1.0, 1.0, 1.0, 2.5, 1.0]",1.75,0
Matthew Nelson,1,24193998,"[2.5, 3.0, 1.0, 2.5, 2.75]",2.34,0
Donald Watts,2,23186182,"[1.75, 1.25, 2.0, 2.0, 2.0, 1.75, 3.0, 2.25]",2.01,0
Cheryl Pittman,1,24986805,"[1.75, 2.5, 1.0, 2.75, 2.5]",2.12,0
Diana Woodward,2,23063339,"[2.25, 2.5, 2.25, 2.5, 2.25, 1.0, 2.5, 2.25]",2.18,0
Austin Hunt,4,21884952,"[1.0, 2.75, 2.75, 4.0, 5.0]",2.17,2
Linda Payne,1,24443499,"[3.0, 1.75, 2.75, 1.0, 4.0]",2.05,1
Duane Evans MD,1,24374383,"[2.25, 1.5, 2.0, 1.0, 1.0]",1.5,0
Terri Jones,1,24678939,"[1.75, 3.0, 1.75, 2.75, 2.0]",2.29,0
Tony Sandoval,3,22264896,"[2.25, 3.0, 1.0, 2.25, 2.0, 1.25, 1.0]",1.82,0
Jeremy Curtis,1,24858068,"[5.0, 5.0, 2.75, 2.25, 5.0]",2.5,3
Angela Barrera,2,23024760,"[2.0, 3.0, 1.25, 1.0, 2.25, 2.5, 5.0, 2.0]",2.0,1
Diana Ferguson,1,24217434,"[1.0, 1.0, 1.5, 2.25, 2.5]",1.7,0
Dana Miles,4,21468140,"[2.5, 1.75, 1.25, 5.0, 2.75]",2.06,1
Angel Nelson,4,21783355,"[2.5, 1.0, 1.5, 2.25, 3.0]",2.05,0
Charles Acevedo,4,21486093,"[4.0, 2.5, 2.0, 1.0, 3.0]",2.12,1
David Harper,4,21152971,"[5.0, 2.0, 1.25, 3.0, 1.0]",1.81,1
Emma Nguyen,2,23910102,"[1.5, 1.5, 2.0, 5.0, 1.0, 2.5, 2.25, 1.0]",1.69,1
Terry Miller DVM,2,23890836,"[1.0, 1.0, 1.5, 1.25, 2.75, 2.25, 2.75, 3.0]",1.98,0
Melinda Lang,2,23552170,"[1.0, 2.5, 1.75, 2.0, 2.25, 2.5, 2.25, 5.0]",2.09,1
Victor Newton,4,21840725,"[4.0, 1.5, 2.25, 1.5, 2.25]",1.88,1
Joann Walker,3,22031806,"[2.0, 4.0, 2.5, 2.5, 1.0, 2.5, 1.5]",2.0,1
Nancy Smith,1,24730812,"[1.75, 2.25, 1.25, 4.0, 5.0]",1.75,2
Joseph Lewis,1,24406195,"[5.0, 2.0, 1.75, 1.5, 1.5]",1.69,1
Cole Smith,3,22691214,"[2.0, 1.25, 1.75, 1.5, 1.25, 3.0, 2.5]",1.89,0
James Mason,1,24614390,"[5.0, 1.75, 1.0, 2.0, 2.5]",1.81,1
Elizabeth Anderson,3,22332590,"[2.0, 1.5, 2.5, 1.75, 2.75, 1.0, 4.0]",1.92,1
Lynn Shelton,3,22213080,"[2.0, 4.0, 2.25, 1.0, 2.5, 2.5, 2.5]",2.12,1
Erica Wheeler,4,21689965,"[5.0, 4.0, 3.0, 2.5, 1.0]",2.17,2
Matthew Meyers,4,21067766,"[2.5, 2.5, 1.75, 5.0, 2.5]",2.31,1
Robert Wilson,2,23713222,"[3.0, 3.0, 2.75, 5.0, 1.25, 2.75, 1.0, 4.0]",2.25,2
Bernard Hart,3,22976058,"[1.75, 1.25, 5.0, 1.0, 1.5, 4.0, 2.25]",1.55,2
Tammy Moore,4,21252751,"[1.0, 1.25, 1.5, 2.0, 2.5]",1.65,0
Tom Clay,4,21433155,"[2.5, 2.5, 2.25, 1.25, 2.75]",2.25,0
Danielle Hill,4,21927823,"[3.0, 4.0, 3.0, 2.25, 5.0]",2.75,2
Dennis Sullivan,1,24703640,"[2.75, 5.0, 4.0, 3.0, 5.0]",2.9,3
Mary Jackson,2,23579523,"[2.5, 2.25, 1.75, 5.0, 1.5, 2.75, 2.5, 1.0]",2.01,1
Jerry Zamora,3,22426680,"[1.25, 2.75, 5.0, 1.25, 2.25, 2.25, 5.0]",1.95,2
Richard Barker,1,24234321,"[4.0, 2.0, 5.0, 1.75, 3.0]",2.25,2
Kathleen Gray,4,21250900,"[1.75, 2.75, 3.0, 1.5, 4.0]",2.25,1
Robert Ramirez,4,21852599,"[1.75, 1.0, 5.0, 2.25, 1.0]",1.5,1
Russell Castillo,3,22241884,"[1.0, 1.25, 2.5, 2.25, 1.0, 3.0, 2.0]",1.86,0
Carrie Williams,2,23690778,"[1.5, 2.25, 2.25, 1.75, 2.75, 4.0, 1.25, 3.0]",2.14,1
Jeffrey Johnson,2,23944726,"[2.5, 2.0, 1.5, 1.75, 2.0, 1.0, 2.75, 1.0]",1.78,0
Tommy Kim,4,21961955,"[4.0, 1.5, 4.0, 5.0, 3.0]",2.25,3
Robert Turner,4,21424715,"[5.0, 5.0, 1.0, 5.0, 1.25]",1.12,3
Mark Beck,2,23250986,"[4.0, 1.5, 1.0, 1.75, 2.75, 1.25, 1.25, 3.0]",1.79,1
Michael Hutchinson,4,21411295,"[4.0, 1.0, 3.0, 4.0, 1.0]",1.67,2
Jonathan Smith,2,23712232,"[4.0, 2.0, 2.75, 1.5, 4.0, 2.25, 2.5, 4.0]",2.2,3
Ebony Delgado,3,22019475,"[3.0, 1.0, 2.25, 3.0, 1.5, 3.0, 2.0]",2.25,0
Gina Contreras,1,24139978,"[2.75, 2.5, 2.0, 1.25, 2.0]",2.05,0
Caroline Salinas,1,24063601,"[2.25, 1.75, 2.25, 1.0, 2.0]",1.82,0
Tony Jones,4,21800429,"[1.0, 2.25, 1.0, 2.0, 1.0]",1.45,0
Christopher Green,3,22452631,"[1.25, 1.0, 2.25, 2.75, 1.25, 2.0, 4.0]",1.75,1
Kiara Howard,4,21097621,"[2.0, 1.5, 1.0, 2.25, 4.0]",1.69,1
Amy Smith,4,21470861,"[1.25, 1.25, 2.5, 2.5, 3.0]",2.1,0
Kristin Wall,2,23531889,"[1.75, 2.25, 5.0, 3.0, 1.75, 1.25, 2.75, 2.75]",2.24,1
Tony Rivera II,2,23839714,"[3.0, 2.25, 4.0, 1.0, 1.0, 2.0, 2.25, 4.0]",1.85,2
Kim Johnson,2,23007745,"[2.5, 1.75, 2.0, 1.5, 4.0, 2.5, 4.0, 1.25]",1.88,2
Alan Blair,1,24913628,"[1.5, 1.0, 1.5, 2.75, 3.0]",1.98,0
Ashley Hogan,3,22514453,"[1.0, 4.0, 2.0, 1.25, 1.0, 1.0, 1.25]",1.25,1
Lynn Lane,1,24933232,"[2.75, 4.0, 1.5, 2.25, 1.75]",2.0,1
Michael Price,3,22413911,"[2.75, 2.0, 1.0, 2.25, 3.0, 5.0, 3.0]",2.33,1
Leslie Chambers,3,22087245,"[2.0, 2.0, 3.0, 1.5, 5.0, 1.5, 2.5]",2.08,1
Victoria Patel,3,22579509,"[2.75, 1.0, 2.75, 2.25, 3.0, 1.75, 2.0]",2.21,0
Joseph Sellers,3,22899974,"[2.5, 3.0, 4.0, 2.25, 1.75, 1.75, 1.25]",2.08,1
David Hill,4,21978039,"[1.75, 1.25, 2.75, 4.0, 2.0]",1.94,1
Robert Nichols,4,21408084,"[1.25, 1.5, 1.0, 2.0, 2.0]",1.55,0
Jorge Horton,4,21761249,"[2.25, 4.0, 2.0, 1.5, 5.0]",1.92,2
Craig Smith,1,24467233,"[3.0, 4.0, 4.0, 1.5, 1.0]",1.69,2
Jennifer Smith,3,22995269,"[1.25, 5.0, 1.5, 1.25, 2.25, 1.0, 1.0]",1.38,1
Corey Carroll,2,23745586,"[1.0, 2.25, 2.75, 4.0, 2.0, 2.25, 1.75, 2.5]",2.12,1
Jason Rivera,1,24651354,"[1.0, 1.0, 2.0, 2.0, 3.0]",1.86,0
Gabriel Walters,3,22831071,"[2.25, 2.5, 1.5, 1.75, 1.0, 2.0, 3.0]",2.0,0
Leah Moore,3,22065634,"[4.0, 2.75, 2.75, 1.5, 1.5, 1.5, 2.75]",2.12,1
Phillip Reeves,2,23626923,"[5.0, 2.0, 1.75, 3.0, 5.0, 2.75, 2.5, 4.0]",2.4,3
Tonya Torres,3,22739045,"[4.0, 2.5, 1.75, 3.0, 2.25, 5.0, 1.0]",2.1,2
Donna George,3,22121538,"[2.25, 4.0, 3.0, 1.75, 3.0, 2.75, 2.0]",2.46,1
Joy Mendez,4,21401218,"[2.75, 2.5, 2.25, 2.25, 4.0]",2.44,1
Mrs. Cynthia Best,4,21448640,"[2.25, 1.0, 2.25, 1.25, 2.0]",1.75,0
Erika Hill,3,22388918,"[3.0, 2.75, 1.5, 2.25, 1.25, 2.25, 4.0]",2.17,1
Brandon Werner,3,22197066,"[2.75, 2.25, 5.0, 2.75, 1.25, 5.0, 1.75]",2.15,2
Paula Allen,3,22457284,"[2.0, 4.0, 1.5, 1.0, 2.5, 1.5, 4.0]",1.7,2
Michelle Golden,2,23552684,"[1.75, 2.5, 2.25, 1.75, 1.5, 1.5, 1.0, 2.5]",1.85,0
Dr. Keith Thomas,4,21746009,"[1.5, 1.75, 3.0, 2.0, 2.75]",2.2,0
Elizabeth Mclean,2,23083121,"[2.5, 2.25, 1.5, 1.0, 2.75, 2.75, 5.0, 1.25]",1.98,1
Jennifer Stone,3,22831033,"[1.25, 1.75, 3.0, 2.0, 2.5, 1.25, 4.0]",1.96,1
Blake Williams,4,21862307,"[2.25, 1.25, 1.25, 4.0, 3.0]",1.94,1
Steven Bailey,4,21693468,"[1.0, 3.0, 2.5, 1.75, 1.5]",1.95,0
James Reid,4,21684632,"[3.0, 1.0, 4.0, 2.5, 2.5]",2.25,1
Suzanne Bell,2,23475146,"[1.0, 2.0, 4.0, 1.25, 1.75, 5.0, 4.0, 2.25]",1.7,3
Alexandra Moore,2,23968531,"[1.0, 2.5, 2.0, 5.0, 2.5, 2.75, 2.0, 4.0]",2.19,2
Matthew Butler DDS,1,24801700,"[1.25, 4.0, 1.0, 2.75, 1.0]",1.52,1
April Price,2,23322836,"[2.25, 2.75, 4.0, 1.25, 2.0, 2.25, 2.0, 4.0]",2.07,2
Deanna Lopez,3,22333681,"[4.0, 2.75, 1.25, 2.0, 1.0, 3.0, 4.0]",2.0,2
Julia Travis,4,21230454,"[3.0, 2.75, 4.0, 2.25, 2.0]",2.5,1
Elizabeth Johnson,1,24890850,"[1.75, 2.75, 3.0, 2.75, 1.0]",2.29,0
Jeffrey Coleman,3,22797413,"[2.75, 1.25, 4.0, 1.0, 5.0, 1.5, 2.75]",1.85,2
Brady Evans,1,24304660,"[2.0, 1.75, 2.75, 5.0, 1.5]",2.0,1
Paul Wilson,4,21724626,"[1.5, 1.5, 5.0, 1.75, 1.0]",1.44,1
Jamie Hampton,1,24956047,"[2.75, 1.75, 1.25, 1.25, 2.75]",1.89,0
Cheryl Thornton,2,23071414,"[2.0, 1.75, 3.0, 2.25, 2.75, 5.0, 1.25, 1.0]",2.0,1
Ross Smith,4,21671203,"[3.0, 1.5, 1.75, 1.75, 1.0]",1.8,0
Joseph Carter,2,23922714,"[5.0, 2.5, 5.0, 2.5, 3.0, 1.25, 1.0, 4.0]",2.05,3
Kenneth Allen,1,24331503,"[2.0, 4.0, 1.25, 3.0, 5.0]",2.09,2
Dominique Vaughn,2,23174720,"[3.0, 2.75, 1.5, 1.75, 2.75, 2.0, 5.0, 1.0]",2.06,1
Ariana Mcdowell,1,24924693,"[3.0, 3.0, 2.75, 1.75, 1.75]",2.41,0
Jesse Wilson,2,23108250,"[1.25, 2.25, 2.75, 4.0, 1.75, 2.25, 3.0, 3.0]",2.38,1
Emily Robertson,4,21424529,"[2.0, 5.0, 1.5, 1.25, 4.0]",1.58,2
Bridget Miller,4,21720075,"[1.0, 2.25, 1.75, 3.0, 1.75]",1.95,0
Amber Martinez,1,24128577,"[1.5, 1.75, 2.0, 1.75, 1.5]",1.71,0
Adam Cooper,4,21926037,"[4.0, 2.75, 2.0, 3.0, 5.0]",2.58,2
Timothy Dixon,3,22297604,"[2.75, 1.5, 1.75, 4.0, 1.5, 2.25, 4.0]",1.95,2
Paul Allen,4,21277460,"[1.75, 1.25, 1.75, 1.5, 2.5]",1.75,0
Amanda Martinez,3,22726530,"[1.5, 1.0, 1.75, 2.75, 2.0, 3.0, 2.5]",2.07,0
Roger Fitzpatrick,3,22663796,"[5.0, 4.0, 4.0, 1.25, 2.0, 3.0, 2.0]",2.06,3
Christine Watson,1,24558913,"[4.0, 4.0, 1.25, 4.0, 1.75]",1.5,3
Robin Bentley,4,21597801,"[2.0, 3.0, 3.0, 2.0, 2.0]",2.4,0
Andrew Morales,1,24375213,"[1.5, 5.0, 1.0, 4.0, 2.25]",1.59,2
Melissa Perry,4,21853963,"[2.0, 2.0, 4.0, 1.5, 1.0]",1.62,1
Jill Flowers,2,23508153,"[1.75, 2.75, 4.0, 2.25, 4.0, 1.5, 2.5, 1.75]",2.1,2
Paul Hernandez,4,21479490,"[1.0, 1.0, 2.75, 2.75, 1.25]",1.75,0
Emily Rogers,1,24654245,"[2.75, 1.25, 1.25, 2.75, 3.0]",2.16,0
Andre Davis,4,21154879,"[2.5, 1.25, 2.75, 3.0, 1.25]",2.15,0
Mary Barrett,2,23911132,"[1.75, 2.0, 1.5, 3.0, 2.0, 2.5, 1.25, 3.0]",2.14,0
Kevin Bauer,3,22100989,"[3.0, 3.0, 2.25, 1.25, 4.0, 2.0, 4.0]",2.3,2
Mrs. Nicole Cain,4,21974978,"[2.25, 1.75, 5.0, 1.75, 4.0]",1.92,2
Mckenzie Perez,1,24955461,"[2.0, 1.5, 1.0, 2.0, 3.0]",1.89,0
Kristina Figueroa,3,22183950,"[4.0, 2.25, 2.0, 2.5, 2.25, 2.0, 2.25]",2.21,1
Christine Jones,1,24153886,"[1.5, 4.0, 1.25, 4.0, 2.0]",1.59,2
Mary Smith,3,22568030,"[2.0, 5.0, 1.25, 4.0, 2.75, 1.0, 4.0]",1.75,3
Jay Delgado,1,24240306,"[2.75, 2.5, 2.5, 4.0, 2.5]",2.55,1
Michael Cooper,1,24342104,"[5.0, 1.25, 1.5, 3.0, 2.25]",2.0,1
Denise Young,3,22870580,"[2.25, 1.25, 2.75, 5.0, 2.5, 2.0, 4.0]",2.15,2
Michael Dean,2,23324415,"[2.0, 2.75, 1.0, 1.5, 1.75, 1.25, 2.75, 4.0]",1.85,1
Brian Huff,3,22410114,"[1.75, 1.5, 4.0, 1.5, 2.75, 5.0, 1.75]",1.85,2
Timothy Davila,3,22779004,"[2.75, 2.5, 5.0, 2.5, 1.0, 2.25, 1.25]",2.04,1
Brenda Garcia,4,21579677,"[5.0, 1.75, 2.5, 2.75, 1.5]",2.12,1
Jennifer Johnson,1,24184876,"[2.0, 2.0, 2.25, 3.0, 5.0]",2.34,1
Dustin Wright,3,22830475,"[1.5, 2.25, 1.5, 2.0, 1.25, 5.0, 2.5]",1.83,1
Mitchell Brown,3,22685987,"[2.25, 5.0, 1.0, 2.5, 1.5, 2.25, 5.0]",1.9,2
Michael Brady,3,22574108,"[2.5, 2.25, 1.5, 5.0, 4.0, 2.0, 2.5]",2.15,2
Cynthia Jackson,4,21167335,"[2.25, 5.0, 2.75, 2.0, 1.75]",2.19,1
Renee Rodgers,2,23050878,"[3.0, 4.0, 4.0, 2.0, 3.0, 2.5, 1.75, 1.25]",2.21,2
Jennifer Love,3,22519088,"[1.5, 2.75, 2.75, 1.0, 1.5, 2.25, 1.5]",1.89,0
Lisa Thomas,4,21136835,"[3.0, 1.75, 2.0, 3.0, 1.75]",2.3,0
Amanda Smith,4,21206197,"[1.5, 2.5, 1.75, 2.0, 4.0]",1.94,1
James Booker,4,21084068,"[1.75, 3.0, 5.0, 1.0, 2.5]",2.06,1
Jessica Berry,1,24623653,"[1.5, 5.0, 3.0, 1.25, 1.5]",1.84,1
Steven Williamson,2,23168548,"[4.0, 1.75, 4.0, 1.75, 1.25, 3.0, 1.5, 1.5]",1.79,2
Timothy Ochoa,4,21852028,"[1.25, 3.0, 2.25, 2.5, 2.25]",2.25,0
Tyrone Brown,4,21432739,"[3.0, 3.0, 5.0, 3.0, 2.5]",2.88,1
Jocelyn Freeman,3,22221718,"[1.75, 5.0, 1.25, 1.25, 4.0, 1.75, 5.0]",1.5,3
Jennifer Graham,3,22450367,"[2.0, 1.0, 3.0, 3.0, 1.25, 4.0, 3.0]",2.21,1
Michael Love,4,21412941,"[1.5, 5.0, 1.25, 5.0, 4.0]",1.38,3
Caitlin Marks,4,21042218,"[1.5, 5.0, 3.0, 1.75, 3.0]",2.31,1
Brian Clark Jr.,1,24718239,"[4.0, 1.0, 2.5, 2.75, 3.0]",2.31,1
Jose Walton,4,21522713,"[5.0, 1.0, 5.0, 2.75, 1.25]",1.67,2
Tricia Travis,4,21197298,"[5.0, 2.0, 3.0, 2.75, 1.0]",2.19,1
Shannon Barr,4,21748229,"[2.25, 2.25, 1.25, 1.25, 1.25]",1.65,0
Sarah Elliott,3,22239327,"[5.0, 2.75, 2.25, 1.5, 1.0, 3.0, 3.0]",2.25,1
Renee Solomon,2,23084561,"[1.75, 5.0, 1.5, 2.0, 1.25, 2.0, 3.0, 2.5]",2.01,1
Angela Brown,4,21928340,"[5.0, 2.5, 1.0, 5.0, 2.75]",2.08,2
Lisa Bruce,3,22681460,"[1.25, 2.5, 3.0, 1.75, 2.75, 1.75, 4.0]",2.17,1
Robert Gay,2,23134228,"[1.75, 5.0, 2.25, 1.0, 1.0, 5.0, 2.0, 1.75]",1.62,2
Mr. Michael Miller,4,21226710,"[1.0, 5.0, 2.0, 2.5, 2.5]",2.0,1
Roberta James,2,23412211,"[2.25, 2.0, 1.5, 5.0, 2.25, 3.0, 5.0, 1.5]",2.07,2
Jamie Colon,1,24123534,"[1.5, 1.0, 1.0, 1.0, 1.5]",1.18,0
Nathan Rodriguez,4,21600576,"[3.0, 1.0, 1.0, 2.0, 2.25]",1.85,0
James Beasley,4,21637281,"[1.25, 5.0, 1.25, 3.0, 2.25]",1.94,1
Ashley Stevens,4,21265950,"[5.0, 1.25, 1.0, 2.0, 2.0]",1.56,1
Veronica Stevens,1,24315786,"[1.25, 1.0, 4.0, 2.0, 2.0]",1.59,1
Richard Lee,2,23914092,"[1.5, 3.0, 2.5, 4.0, 1.5, 2.25, 1.0, 5.0]",1.99,2
Emily Jones,4,21272366,"[1.5, 1.5, 5.0, 4.0, 2.5]",1.83,2
Jason Williams,4,21440619,"[5.0, 1.5, 2.5, 1.25, 1.0]",1.56,1
Nichole Cross,4,21785210,"[2.0, 3.0, 3.0, 1.25, 4.0]",2.31,1
Lori Delacruz,1,24585096,"[2.5, 1.25, 1.75, 1.5, 3.0]",1.96,0
Lance Jackson,4,21227133,"[1.75, 1.5, 3.0, 1.75, 2.25]",2.05,0
Yolanda Rivera,3,22935201,"[2.0, 2.75, 2.0, 4.0, 3.0, 3.0, 5.0]",2.55,2
Brittney Key,4,21697532,"[2.5, 3.0, 1.75, 2.5, 3.0]",2.55,0
David Gutierrez,3,22248194,"[5.0, 2.25, 2.5, 2.5, 3.0, 3.0, 5.0]",2.65,2
Kimberly Miller,1,24513574,"[1.75, 2.25, 2.25, 3.0, 1.25]",2.12,0
Angel Cook,4,21134672,"[3.0, 1.5, 5.0, 1.5, 5.0]",2.0,2
Kelly Smith,1,24630075,"[1.5, 4.0, 5.0, 2.5, 5.0]",2.1,3
Donald Thompson,3,22234533,"[5.0, 1.75, 1.0, 1.75, 2.25, 2.0, 3.0]",1.96,1
Debra Caldwell,1,24530180,"[1.5, 1.5, 2.75, 1.5, 2.75]",2.04,0
Shelby Morgan,2,23038055,"[1.0, 2.75, 1.25, 2.75, 2.0, 1.75, 2.75, 1.25]",1.98,0
Martin Cunningham,3,22630187,"[1.75, 1.0, 1.25, 4.0, 1.75, 1.5, 2.25]",1.58,1
John Hernandez,1,24504387,"[5.0, 1.5, 2.5, 5.0, 2.25]",2.08,2
Kristin Morton DDS,4,21321063,"[1.25, 1.25, 4.0, 1.5, 1.0]",1.25,1
Sarah Johnson,3,22892539,"[4.0, 3.0, 2.0, 3.0, 3.0, 1.75, 2.0]",2.46,1
Matthew Murphy,2,23241670,"[1.25, 1.0, 1.25, 5.0, 1.0, 3.0, 3.0, 1.5]",1.74,1
Elizabeth Ball,1,24333814,"[2.0, 2.0, 3.0, 2.75, 2.75]",2.54,0
Kelly Callahan,2,23820577,"[1.5, 2.25, 1.5, 1.25, 2.75, 2.5, 1.5, 4.0]",1.91,1
Veronica Cook,1,24146810,"[2.25, 1.25, 5.0, 2.75, 3.0]",2.32,1
Brenda Norman,2,23310195,"[2.25, 5.0, 1.25, 5.0, 2.5, 2.0, 4.0, 2.5]",2.09,3
Karina Holmes,1,24683154,"[1.0, 1.75, 3.0, 3.0, 2.25]",2.29,0
Dakota Bryant,2,23227879,"[1.25, 2.25, 2.75, 1.0, 5.0, 1.75, 1.5, 2.0]",1.81,1
Angela Wright,3,22965781,"[1.25, 1.25, 3.0, 1.0, 3.0, 2.75, 5.0]",2.04,1
Randy Henry,4,21215485,"[4.0, 2.5, 2.75, 1.0, 1.0]",1.81,1
Jennifer Thompson,1,24425380,"[1.5, 1.25, 3.0, 1.5, 1.0]",1.66,0
Allen Snyder,3,22302247,"[4.0, 2.25, 1.0, 2.75, 2.0, 2.25, 2.5]",2.12,1
James Banks,2,23843863,"[1.0, 3.0, 1.25, 1.5, 1.25, 4.0, 1.25, 1.5]",1.56,1
Erin Norris,1,24603421,"[1.0, 5.0, 1.25, 1.75, 2.0]",1.55,1
Matthew Morales,1,24930970,"[1.5, 3.0, 1.5, 2.5, 2.25]",2.2,0
Sarah Washington,4,21920342,"[1.25, 2.5, 1.25, 1.75, 2.25]",1.8,0
Matthew Smith,1,24857435,"[2.5, 2.75, 1.0, 1.0, 1.75]",1.75,0
Dalton Bauer,1,24990848,"[2.75, 5.0, 2.5, 1.25, 1.0]",1.8,1
Michael Shaw,4,21158544,"[5.0, 2.75, 2.75, 1.75, 4.0]",2.42,2
Alexandra Mcconnell,4,21830330,"[2.5, 1.75, 1.25, 1.25, 5.0]",1.69,1
Bobby Hoffman,1,24111295,"[2.25, 4.0, 1.75, 1.25, 2.25]",1.84,1
Julie Brewer,1,24595190,"[2.0, 2.0, 1.0, 5.0, 1.0]",1.45,1
Christopher Morris,4,21892326,"[2.5, 1.0, 2.5, 2.0, 3.0]",2.2,0
Luis Smith,3,22146612,"[3.0, 2.75, 2.0, 4.0, 1.5, 2.75, 1.5]",2.25,1
Michael Hernandez,3,22437424,"[4.0, 5.0, 4.0, 5.0, 2.0, 2.0, 4.0]",2.0,5
